category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,9573,9573,9573,86026,86026,86026,0,0,0
ABC,86042,86042,86042,91124,91124,91124,0,0,0
ABC,91127,91127,91127,211862,211862,211862,0,0,0
ABC,211884,211884,211884,216350,216350,216350,0,0,0
ABC,219539,219539,219539,8223520,8223520,8223520,0,0,0
ABC,8223565,8223565,8223565,8224317,8224317,8224317,0,0,0
ABC,8224317,8224317,8224317,8228939,8228939,8228939,0,0,0
ABC,8228939,8228939,8228939,8229584,8229584,8229584,0,0,0
ABC,8229681,8229681,8229681,12594309,12594309,12594309,0,0,0
ABC,12615814,12615814,12615814,12616003,12616003,12616003,0,0,0
ABC,12616662,12616662,12616662,19281900,19281900,19281900,0,0,0
ABC,19281919,19281919,19281919,19486292,19486292,19486292,0,0,0
ABC,19486304,19486304,19486304,26248319,26248319,26248319,0,0,0
ABC,26267396,26267396,26267396,26319297,26319297,26319297,0,0,0
ABC,26344947,26344947,26344947,38616698,38696822,38616698,0,80124,80124
AC,38696821,,38696821,38819279,,38819279,0,0,0
ABC,38839271,38839271,38839271,47315212,47315175,47315212,0,37,37
ABC,47315212,47315211,47315212,47317092,47318515,47317148,1,1423,1423
ABC,47317146,47318568,47317192,47317957,47329260,47317957,1422,11303,11303
ABC,47317978,47330528,47317978,47318609,47332383,47318515,12550,13868,13868
AC,47319052,,47318568,47329260,,47329260,484,0,484
AC,47330528,,47330528,47332383,,47332383,0,0,0
ABC,47334772,47334772,47334772,49179835,49179835,49179835,0,0,0
ABC,49200815,49200815,49200815,49235493,49235493,49235493,0,0,0
ABC,49235516,49235516,49235516,55524767,55524767,55524767,0,0,0
ABC,55527914,55527914,55527914,55535085,55535085,55535085,0,0,0
ABC,55536075,55536075,55536075,56876360,56876360,56876360,0,0,0
ABC,56882442,56882442,56882442,56984822,56984822,56984822,0,0,0
ABC,57049438,57049438,57049438,57892970,57892970,57892970,0,0,0
ABC,57920897,57920897,57920897,58070312,58070312,58070312,0,0,0
ABC,69987938,69987938,69987938,69988692,69988692,69988692,0,0,0
AC,69998354,,69998354,88030320,,88030320,0,0,0
ABC,88034694,88034694,88034694,88044369,88044369,88044369,0,0,0
ABC,88044415,88044415,88044415,88096412,88096412,88096412,0,0,0
BC,,58092761,58092761,,63909236,63909236,0,0,0
BC,,63909482,63909482,,63910062,63910062,0,0,0
BC,,63910097,63910097,,69986188,69986188,0,0,0
