category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,126432,126432,126432,132632,132632,132632,0,0,0
ABC,132649,132649,132649,132991,132991,132991,0,0,0
AC,132991,,132991,2961469,,2961469,0,0,0
ABC,2961530,2961530,2961530,2961685,2961685,2961685,0,0,0
ABC,2962163,2962163,2962163,16594931,16575721,16575741,0,19210,19210
ABC,16607520,16607520,16607520,16671239,16671239,16671239,0,0,0
ABC,16716711,16716711,16716711,16799525,16799525,16799525,0,0,0
ABC,16799574,16799574,16799574,16804071,16804071,16804071,0,0,0
AC,16804075,,16804075,48329090,,48329050,0,40,40
AC,48333536,,48329089,48356974,,48356974,4447,0,4447
ABC,48370176,48370176,48370176,58059930,58059930,58059930,0,0,0
ABC,58117108,58117108,58117108,58260006,58260006,58260006,0,0,0
ABC,105452687,105452687,105452687,105644110,105644110,105644110,0,0,0
ABC,105644110,105644110,105644110,107341670,107314627,107341670,0,27043,27043
ABC,107342169,107351756,107342169,107344128,107352482,107351740,9587,8354,9587
ABC,107344165,107352530,107351756,107344963,107368296,107352482,8365,23333,23333
ABC,107345089,107314660,107352530,107351740,107351740,107368296,37870,16556,37870
ABC,107368395,107368395,107368395,110184472,110184472,110184472,0,0,0
ABC,110228973,110228973,110228973,110256504,110256504,110256504,0,0,0
AC,110256504,,110256504,111977873,,111977873,0,0,0
ABC,112040092,112040092,112040092,112451724,112451724,112451724,0,0,0
AC,112525189,,112525189,115770855,,115770855,0,0,0
ABC,115770877,115770877,115770877,115802223,115791254,115802223,0,10969,10969
ABC,115802267,115802267,115802267,115804523,115807151,115807151,0,2628,2628
ABC,115804523,115795088,115807195,115807038,115802223,115828033,12107,25810,25810
AB,115807038,115791334,,115807151,115795066,,15704,12085,15704
AB,115807195,115807195,,115828011,115828033,,0,22,22
ABC,122902498,122902498,122902498,122941760,122941760,122941760,0,0,0
ABC,122981173,122981173,122981173,127871696,127871696,127871696,0,0,0
ABC,127902462,127902462,127902462,128044936,128044936,128044936,0,0,0
ABC,128044956,128044956,128044956,140841167,140841192,140841167,0,25,25
ABC,140841191,140842486,140841191,140874951,140874951,140874951,1295,0,1295
ABC,140883761,140883761,140883761,141576049,141576049,141576049,0,0,0
ABC,141576115,141576115,141576115,141653241,141653241,141653241,0,0,0
ABC,141672382,141672382,141672382,141761279,141761279,141761279,0,0,0
ABC,141836821,141836821,141836821,141919945,141919945,141919945,0,0,0
ABC,141945454,141945454,141945454,151000448,151000448,151000448,0,0,0
ABC,151000522,151000522,151000522,151153088,151153088,151153088,0,0,0
ABC,151160691,151160691,151160691,154759512,154759512,154759512,0,0,0
ABC,154808988,154808988,154808988,154809103,154809103,154809103,0,0,0
ABC,154810975,154810975,154810975,159457156,159457156,159457156,0,0,0
ABC,159492837,159492837,159492837,159616904,159616904,159616904,0,0,0
ABC,159616959,159616959,159616959,161552779,161552779,161552779,0,0,0
ABC,161557053,161557053,161557053,161638077,161638102,161638077,0,25,25
ABC,161638086,161638106,161638086,168218897,168218897,168218897,20,0,20
ABC,168307682,168307682,168307682,168513940,168513940,168513940,0,0,0
ABC,168523441,168523441,168523441,174489468,174489468,174489468,0,0,0
BC,,16575740,16575848,,16576171,16576171,108,0,108
BC,,16576906,16576906,,16594931,16594931,0,0,0
BC,,58396003,58396003,,63813695,63813695,0,0,0
BC,,63841585,63841585,,63894755,63894755,0,0,0
BC,,115898319,115898319,,120509446,120509446,0,0,0
BC,,120509446,120509446,,120509788,120509788,0,0,0
BC,,120509878,120509878,,120523250,120523250,0,0,0
BC,,120523251,120523251,,120523749,120523699,0,50,50
BC,,120523749,120523748,,122887538,122887538,1,0,1
