category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,715,715,715,1291,1291,1291,0,0,0
ABC,1291,1291,1291,10419,10419,10419,0,0,0
ABC,10515,10515,10515,11217,11217,11217,0,0,0
ABC,11262,11262,11262,14330,14330,14330,0,0,0
ABC,14426,14426,14426,15120,15120,15120,0,0,0
ABC,15124,15124,15124,19104,19104,19104,0,0,0
ABC,19200,19200,19200,24537,24537,24537,0,0,0
ABC,24582,24582,24582,27559,27559,27559,0,0,0
ABC,27655,30640,30640,33411,33411,33411,2985,0,2985
ABC,33411,33411,33411,39487,39488,39488,0,1,1
ABC,39487,39584,39584,39829,39829,39829,97,0,97
ABC,39833,39833,39833,49561,49561,49561,0,0,0
ABC,50120,50120,50120,52365,52365,52365,0,0,0
ABC,52365,52365,52365,60653,60653,60653,0,0,0
ABC,60750,60750,60750,61661,61661,61661,0,0,0
ABC,61661,61661,61661,62231,63962,63962,0,1731,1731
ABC,62327,64058,64058,65415,65415,65415,1731,0,1731
ABC,65561,65561,65561,68156,68156,68156,0,0,0
ABC,70807,70807,70807,200351,200351,200351,0,0,0
ABC,200674,200674,200674,201630,201630,201630,0,0,0
ABC,202006,202006,202006,7813191,7813191,7813191,0,0,0
ABC,7826871,7826871,7826871,7830519,7830519,7830519,0,0,0
ABC,7830565,7830565,7830565,7831442,7831442,7831442,0,0,0
ABC,7831538,7831538,7831538,7836651,7836651,7836651,0,0,0
ABC,7836864,7836864,7836864,7837062,7837062,7837062,0,0,0
ABC,7838204,7838204,7838204,7848872,7848872,7848872,0,0,0
ABC,7849429,7849429,7849429,7850353,7850353,7850353,0,0,0
ABC,7850449,7850449,7850449,7854458,7854458,7854458,0,0,0
ABC,7854504,7854504,7854504,7857190,7860516,7857190,0,3326,3326
ABC,7857286,7860612,7857286,7858574,7862250,7858574,3326,3676,3676
ABC,7858671,7862295,7858671,7860516,7868232,7860516,3624,7716,7716
ABC,7860612,7868328,7860612,7866655,7872680,7872680,7716,6025,7716
ABC,7866659,7872725,7872725,7868232,7875772,7875772,6066,7540,7540
ABC,7868328,7875868,7875868,7872680,7882060,7882060,7540,9380,9380
ABC,7872725,7882206,7882206,7875772,7884261,7884261,9481,8489,9481
ABC,7875868,7884357,7884357,7882060,7891823,7891823,8489,9763,9763
AB,7891823,7891823,,15276825,15276825,,0,0,0
ABC,15287722,15287722,15287722,15288059,15288059,15288059,0,0,0
AC,15291058,,15291058,22632207,,22632207,0,0,0
ABC,22632293,22632293,22632293,22639030,22641306,22641306,0,2276,2276
ABC,23011159,23011159,23011159,23011562,23011562,23011562,0,0,0
ABC,23011798,23011798,23011798,23148543,23167974,23148543,0,19431,19431
ABC,23148986,23168466,23148986,23149883,23178712,23149883,19480,28829,28829
AC,23154972,,23154972,23167974,,23167974,0,0,0
AC,23168466,,23168466,23178712,,23178712,0,0,0
ABC,23180804,23180804,23180804,23816685,23816685,23816685,0,0,0
ABC,23819160,23819160,23819160,23992780,23992780,23992780,0,0,0
ABC,23992804,23992804,23992804,24063101,24063101,24063101,0,0,0
ABC,24064517,24064517,24064517,24073181,24073181,24073181,0,0,0
ABC,24074300,24074300,24074300,24207741,24207741,24207741,0,0,0
ABC,24210211,24210211,24210211,24213330,24213330,24213330,0,0,0
ABC,24213880,24213880,24213880,24218552,24218493,24218664,0,171,171
ABC,24218552,24219038,24218687,24220868,24219783,24220869,486,1086,1086
ABC,24220868,24220909,24220909,24225684,24225684,24225684,41,0,41
ABC,24226537,24226537,24226537,24229054,24229054,24229054,0,0,0
ABC,24229103,24229103,24229103,24251449,24251449,24251449,0,0,0
ABC,24251510,24251510,24251510,24253667,24253667,24253667,0,0,0
ABC,24254859,24254859,24254859,24289357,24289357,24289357,0,0,0
ABC,24289490,24289490,24289490,24290972,24290972,24290972,0,0,0
ABC,24291655,24291655,24291655,24322619,24322619,24322619,0,0,0
ABC,24323188,24323188,24323188,24325287,24325287,24325287,0,0,0
ABC,24337194,24337194,24337194,24442284,24442258,24442258,0,26,26
ABC,24442690,24442283,24442283,24461037,24461038,24461037,407,1,407
ABC,24461037,24461045,24461037,24707772,24707677,24707772,8,95,95
ABC,24707827,24707761,24707827,24708672,24708672,24708672,66,0,66
ABC,24709658,24709658,24709658,24804898,24804898,24804898,0,0,0
ABC,24804903,24804903,24804903,24877513,24877513,24877513,0,0,0
ABC,24877613,24877613,24877613,25402589,25402589,25402589,0,0,0
ABC,25402599,25402599,25402599,25565842,25565842,25565842,0,0,0
ABC,25565882,25565882,25565882,25897827,25897827,25897827,0,0,0
ABC,25901285,25901285,25901285,25901943,25901943,25901943,0,0,0
ABC,25902469,25902469,25902469,26177515,26177515,26177515,0,0,0
ABC,26186745,26186745,26186745,26214975,26214975,26214975,0,0,0
ABC,26254323,26254323,26254323,26479861,26476610,26476610,0,3251,3251
ABC,26479879,26479473,26479473,26480367,26480367,26480367,406,0,406
ABC,26481447,26481447,26481447,26493717,26493655,26493655,0,62,62
ABC,26495064,26493693,26493693,26548723,26495514,26495514,1371,53209,53209
ABC,26550901,26548712,26548712,28486095,28486095,28486095,2189,0,2189
ABC,28486775,28486775,28486775,28487643,28487643,28487643,0,0,0
ABC,28496055,28496055,28496055,28809122,28809122,28809122,0,0,0
BC,,27655,27655,,28865,28865,0,0,0
BC,,28865,28865,,30064,30064,0,0,0
BC,,22799986,22799986,,23010830,23010830,0,0,0
