category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,131877,131877,131877,3627278,3627278,3627278,0,0,0
ABC,3632126,3632126,3632126,3697696,3697696,3697696,0,0,0
ABC,3698999,3698999,3698999,3739956,3739956,3739956,0,0,0
ABC,3739983,3739983,3739983,3743771,3743771,3743771,0,0,0
ABC,3744745,3744745,3744745,7607315,7607315,7607315,0,0,0
ABC,7607723,7607723,7607723,7608615,7608615,7608615,0,0,0
ABC,7609548,7609548,7609548,7648212,7648212,7648212,0,0,0
ABC,7648212,7648212,7648212,7648956,7648956,7648956,0,0,0
ABC,7649125,7649125,7649125,7712232,7712232,7712232,0,0,0
ABC,7712242,7712242,7712242,7714430,7714430,7714430,0,0,0
AB,7714473,7714473,,8513028,8513028,,0,0,0
ABC,8514913,8514913,8514913,8515289,8515289,8515289,0,0,0
ABC,8515292,8515292,8515292,9787243,9787243,9787243,0,0,0
ABC,9834722,9834722,9834722,9957824,9957824,9957824,0,0,0
ABC,10153913,10153913,10153913,14814343,14814343,14814343,0,0,0
ABC,14814354,14814354,14814354,14833597,14833597,14833597,0,0,0
ABC,14838449,14838449,14838449,14893587,14893587,14893587,0,0,0
ABC,14908323,14908323,14908323,14910266,14910266,14910266,0,0,0
ABC,14910483,14910483,14910483,14914383,14914383,14914383,0,0,0
ABC,14914996,14914996,14914996,14918443,14918443,14918443,0,0,0
ABC,14918455,14918455,14918455,14920102,14920102,14920102,0,0,0
ABC,14921455,14921455,14921455,14924226,14924226,14924226,0,0,0
ABC,14932150,14932150,14932150,16316644,16316644,16316644,0,0,0
ABC,16320384,16320384,16320384,16335471,16335471,16335471,0,0,0
ABC,16335495,16335495,16335495,17614475,17614475,17614475,0,0,0
ABC,17614617,17614617,17614617,17615195,17615195,17615195,0,0,0
ABC,17616129,17616129,17616129,17796073,17796073,17796073,0,0,0
ABC,17796428,17796428,17796428,17799277,17799277,17799277,0,0,0
ABC,17804954,17804954,17804954,17875577,17875577,17875577,0,0,0
ABC,17930721,17930721,17930721,17974460,17986834,17974146,0,12688,12688
ABC,17974463,17987940,17974459,18610303,18610303,18610303,13481,0,13481
ABC,18612458,18612458,18612458,18612551,18612551,18612551,0,0,0
ABC,38999094,38999094,38999094,39003349,39003349,39003349,0,0,0
ABC,39003363,39003363,39003363,39005500,39005500,39005500,0,0,0
ABC,39008845,39008845,39008845,39010279,39010279,39010279,0,0,0
ABC,39013245,39013245,39013245,39015751,39015751,39015751,0,0,0
ABC,39015781,39015781,39015781,39016101,39016101,39016101,0,0,0
ABC,39016126,39016126,39016126,39060569,39065354,39060569,0,4785,4785
ABC,39060569,39065454,39060569,39067515,39067515,39067515,4885,0,4885
ABC,39067515,39067515,39067515,39068995,39075094,39075094,0,6099,6099
ABC,39069201,39075190,39075190,39069830,39077710,39077710,5989,7880,7880
ABC,39074590,39077749,39077749,39085606,39085606,39085606,3159,0,3159
ABC,39086533,39086533,39086533,39087259,39087259,39087259,0,0,0
ABC,46939225,46939225,46939225,46941626,46941577,46941610,0,49,49
ABC,46960471,46941609,46941625,51262017,51262017,51262017,18862,0,18862
ABC,51262041,51262041,51262041,51298932,51298932,51298932,0,0,0
ABC,51324445,51324445,51324445,52301701,52301701,52301701,0,0,0
ABC,52301704,52301704,52301704,52515851,52515851,52515851,0,0,0
ABC,52531260,52531260,52531260,52908664,52908664,52908664,0,0,0
ABC,52908669,52908669,52908669,52926892,52926892,52926892,0,0,0
ABC,52929897,52929897,52929897,53072322,53072898,53072322,0,576,576
ABC,53072555,53073406,53072555,53074003,53076335,53076335,851,2332,2332
ABC,53076334,53078183,53078183,88777360,88777360,88777360,1849,0,1849
ABC,88777410,88777410,88777410,88780432,88780432,88780432,0,0,0
AC,88801867,,88801867,95363419,,95363419,0,0,0
ABC,95380147,95380147,95380147,95590370,95590370,95590370,0,0,0
ABC,95590457,95590457,95590457,101666292,101666292,101666292,0,0,0
BC,,18614115,18614115,,18849570,18849570,0,0,0
BC,,18893948,18893948,,18898933,18898933,0,0,0
BC,,18901601,18901601,,38964992,38964992,0,0,0
BC,,39091953,39091953,,45220111,45220111,0,0,0
BC,,45220126,45220126,,45278117,45278117,0,0,0
BC,,45380417,45380417,,46934073,46934073,0,0,0
