category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,13680,13680,13680,4035398,4035398,4035398,0,0,0
ABC,4035429,4035429,4035429,4047629,4047629,4047629,0,0,0
ABC,4050175,4050175,4050175,6168838,6168828,6168828,0,10,10
ABC,6169319,6168837,6168837,6176429,6175987,6175987,482,442,482
ABC,6178183,6176428,6176428,6264085,6264085,6264085,1755,0,1755
ABC,6264137,6264137,6264137,6264816,6264816,6264816,0,0,0
ABC,6265491,6265491,6265491,6962771,6962771,6962771,0,0,0
ABC,6962829,6962829,6962829,6963977,6964392,6964392,0,415,415
ABC,6964391,6964496,6964496,7233614,7233614,7233614,105,0,105
ABC,7236356,7236356,7236356,7239298,7239298,7239298,0,0,0
ABC,7240993,7240993,7240993,7269962,7269962,7269962,0,0,0
ABC,7270079,7270079,7270079,7271399,7271399,7271399,0,0,0
ABC,7271891,7271891,7271891,7278729,7278729,7278729,0,0,0
ABC,7280128,7280128,7280128,7280260,7280260,7280260,0,0,0
ABC,7282182,7282182,7282182,7297965,7297965,7297965,0,0,0
ABC,7300155,7300155,7300155,7300432,7300432,7300432,0,0,0
ABC,7302614,7302614,7302614,7309692,7309692,7309692,0,0,0
ABC,7310055,7310055,7310055,7311001,7311001,7311001,0,0,0
ABC,7311025,7311025,7311025,7312712,7312712,7312712,0,0,0
ABC,7313542,7313542,7313542,7315265,7315265,7315265,0,0,0
AC,7317233,,7317233,8394363,,8394363,0,0,0
ABC,8402820,8402820,8402820,8475074,8475074,8475074,0,0,0
ABC,8511365,8511365,8511365,8534237,8534237,8534237,0,0,0
ABC,8535381,8535381,8535381,8568335,8568335,8568335,0,0,0
ABC,8568367,8568367,8568367,8670808,8656629,8670808,0,14179,14179
ABC,8671043,8671043,8671043,8671903,8671903,8671903,0,0,0
ABC,8671925,8671925,8671925,9151683,9151683,9151683,0,0,0
ABC,9153267,9153267,9153267,9161353,9161353,9161353,0,0,0
ABC,9161700,9161700,9161700,9167555,9167555,9167555,0,0,0
ABC,9167650,9167650,9167650,9198204,9198204,9198204,0,0,0
