category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
AC,1291,,1291,3967352,,3967352,0,0,0
AC,3980230,,3980230,4070650,,4070650,0,0,0
AC,4186145,,4186145,14338042,,14338042,0,0,0
ABC,14339284,14339284,14339284,14353606,14393145,14354665,0,39539,39539
ABC,14353636,14397619,14393144,23028114,23028114,23028114,43983,0,43983
ABC,23028119,23028119,23028119,23090812,23090812,23090812,0,0,0
ABC,23090883,23090883,23090883,25013105,25013105,25013105,0,0,0
ABC,25014673,25014673,25014673,25015105,25015105,25015105,0,0,0
ABC,25021769,25021769,25021769,26385962,26385962,26385962,0,0,0
ABC,26512781,26512781,26512781,26562380,26562380,26562380,0,0,0
ABC,26562421,26562421,26562421,35798649,35798649,35798649,0,0,0
ABC,35931134,35931134,35931134,36010694,36010694,36010694,0,0,0
ABC,36010710,36010710,36010710,40058482,40058482,40058482,0,0,0
ABC,40064743,40064743,40064743,40113127,40113127,40113127,0,0,0
ABC,40119378,40119378,40119378,46309969,46309969,46309969,0,0,0
ABC,46455814,46455814,46455814,46483289,46483289,46483289,0,0,0
ABC,46483319,46483319,46483319,52292545,52292545,52292545,0,0,0
ABC,52358447,52358447,52358447,52399943,52399943,52399943,0,0,0
ABC,52417192,52417192,52417192,53424757,53424757,53424757,0,0,0
ABC,53431056,53431056,53431056,53622397,53622397,53622397,0,0,0
ABC,53663189,53663189,53663189,61199019,61199019,61199019,0,0,0
ABC,61199026,61199026,61199026,61204401,61204401,61204401,0,0,0
ABC,61210463,61210463,61210463,63437127,63437127,63437127,0,0,0
ABC,63442128,63442128,63442128,63442313,63442313,63442313,0,0,0
ABC,63442313,63442313,63442313,63442913,63442913,63442913,0,0,0
ABC,63443423,63443423,63443423,63443610,63443610,63443610,0,0,0
ABC,63444154,63444154,63444154,63450381,63450381,63450381,0,0,0
ABC,63450454,63450454,63450454,63453439,63453439,63453439,0,0,0
ABC,63455291,63455291,63455291,63455772,63455772,63455772,0,0,0
ABC,63455988,63455988,63455988,63456716,63456716,63456716,0,0,0
ABC,63456722,63456722,63456722,63457371,63457371,63457371,0,0,0
ABC,63457398,63457398,63457398,63457764,63457764,63457764,0,0,0
ABC,63457764,63457764,63457764,63458804,63458804,63458804,0,0,0
ABC,63458804,63458804,63458804,63459103,63459103,63459103,0,0,0
ABC,63459582,63459582,63459582,63460198,63460198,63460198,0,0,0
ABC,63460225,63460225,63460225,63460391,63460391,63460391,0,0,0
ABC,63463929,63463929,63463929,70852371,70852371,70852371,0,0,0
ABC,70921593,70921593,70921593,71074008,71074008,71074008,0,0,0
ABC,71079062,71079062,71079062,82882109,82882109,82882109,0,0,0
ABC,82900272,82900272,82900272,82992036,82992036,82992036,0,0,0
ABC,98843253,98843253,98843253,98844817,98844817,98844817,0,0,0
ABC,98850060,98850060,98850060,99054265,99054265,99054265,0,0,0
ABC,99054289,99054289,99054289,99054580,99054580,99054580,0,0,0
ABC,99325269,99325269,99325269,100834210,100834210,100834210,0,0,0
ABC,100845817,100845817,100845817,100911711,100911711,100911711,0,0,0
ABC,100911711,100911711,100911711,110624611,110624611,110624611,0,0,0
BC,,83075921,83075921,,88867574,88867574,0,0,0
BC,,88867600,88867600,,88868360,88868360,0,0,0
