category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,40705,40705,40705,175502,175502,175502,0,0,0
ABC,175525,175525,175525,253756,225393,225393,0,28363,28363
ABC,255062,225477,225477,263712,263712,263712,29585,0,29585
ABC,263735,263735,263735,384984,384984,384984,0,0,0
ABC,397805,397805,397805,437600,437600,437600,0,0,0
ABC,437666,437666,437666,559053,559053,559053,0,0,0
ABC,559229,559229,559229,11319011,11319011,11319011,0,0,0
ABC,11320634,11320634,11320634,11433792,11433792,11433792,0,0,0
ABC,11713487,11713487,11713487,25350109,25350109,25350109,0,0,0
ABC,25363964,25363964,25363964,25377077,25377077,25377077,0,0,0
ABC,25377084,25377084,25377084,36765130,36765130,36765130,0,0,0
ABC,36765161,36765161,36765161,36808702,36808702,36808702,0,0,0
ABC,36814315,36814315,36814315,41240953,41240953,41240953,0,0,0
ABC,41268349,41268349,41268349,41401487,41401487,41401487,0,0,0
ABC,41411688,41411688,41411688,45245635,45165742,45245635,0,79893,79893
ABC,45245635,45245635,45245635,45247725,45247725,45247725,0,0,0
ABC,45248027,45248027,45248027,45268546,45266684,45268546,0,1862,1862
ABC,45268571,45268571,45268571,45268714,45268714,45268714,0,0,0
ABC,45268767,45268767,45268767,45280117,45278374,45279546,0,1743,1743
ABC,45280215,45280592,45279551,45280717,45282314,45280717,1041,1597,1597
ABC,45281017,45282495,45281017,45282314,45283648,45282314,1478,1334,1478
ABC,45282495,45278463,45282495,45283648,45280584,45283648,4032,3064,4032
ABC,45283874,45283874,45283874,46161130,46161130,46161130,0,0,0
ABC,46161195,46161195,46161195,46318802,46318802,46318802,0,0,0
ABC,68912624,68912624,68912624,68950587,68950587,68950587,0,0,0
ABC,68954172,68954172,68954172,72529896,72529896,72529896,0,0,0
ABC,72554176,72554176,72554176,72649035,72649035,72649035,0,0,0
ABC,72650151,72650151,72650151,72651283,72650992,72658840,0,7848,7848
ABC,72651288,72651047,72658967,72651722,72651723,72659840,7920,8118,8118
ABC,72651722,72651826,72659848,72658840,72658840,72660381,8126,1541,8126
ABC,72658967,72658967,72660528,72659840,72659840,72661142,1561,1302,1561
ABC,72659848,72659848,72661242,72660381,72660381,72676875,1394,16494,16494
ABC,72660528,72660528,72677652,72661142,72661142,72678016,17124,16874,17124
ABC,72661242,72661242,72678382,72670005,72676875,72681444,17140,11439,17140
ABC,72670005,72677652,72681838,72671550,72678016,72683009,11833,11459,11833
ABC,72671892,72678382,72683335,72676857,72681444,72691264,11443,14407,14407
ABC,72676874,72681838,72691610,72678016,72683009,72692549,14736,14533,14736
AB,72678382,72683335,,72681444,72691264,,4953,9820,9820
AB,72681838,72691610,,72683009,72692550,,9772,9541,9772
ABC,72692549,72692640,72692549,81806662,81806662,81806662,91,0,91
ABC,81824844,81824844,81824844,81891858,81891858,81891858,0,0,0
ABC,81914926,81914926,81914926,82256121,82256121,82256121,0,0,0
ABC,82256206,82256206,82256206,82441489,82441489,82441489,0,0,0
ABC,82441505,82441505,82441505,111697199,111697199,111697199,0,0,0
ABC,111697247,111697247,111697247,112388311,112388311,112388311,0,0,0
BC,,46342400,46342400,,68850450,68850450,0,0,0
BC,,112520603,112520603,,114171125,114171125,0,0,0
BC,,114171215,114171215,,114173620,114173425,0,195,195
BC,,114173658,114173498,,114397697,114397697,160,0,160
