category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,162248,162248,162248,904492,900996,900996,0,3496,3496
ABC,904519,904519,904519,904877,904877,904877,0,0,0
ABC,904971,904971,904971,939494,935402,939494,0,4092,4092
ABC,939500,939500,939500,940569,940569,940569,0,0,0
ABC,940638,940638,940638,1381643,1376109,1381643,0,5534,5534
ABC,1381727,1381549,1381727,1384078,1384078,1384078,178,0,178
ABC,1384119,1384119,1384119,1385757,1385757,1385757,0,0,0
ABC,1385839,1385839,1385839,1420034,1420034,1420034,0,0,0
ABC,1420075,1420075,1420075,1472174,1472174,1472174,0,0,0
ABC,1472469,1472469,1472469,1477290,1477290,1477290,0,0,0
ABC,1477331,1477331,1477331,1653061,1653061,1653061,0,0,0
ABC,1653061,1653061,1653061,1653209,1653209,1653209,0,0,0
ABC,1653245,1653245,1653245,13094350,13094350,13094350,0,0,0
ABC,13146221,13146221,13146221,13266399,13266399,13266399,0,0,0
ABC,13266421,13266421,13266421,16812628,16812628,16812628,0,0,0
ABC,16813901,16813901,16813901,16814825,16814825,16814825,0,0,0
ABC,16816096,16816096,16816096,16902103,16902103,16902103,0,0,0
ABC,16915653,16915653,16915653,16999087,16999087,16999087,0,0,0
ABC,16999111,16999111,16999111,21909228,21909228,21909228,0,0,0
ABC,21929563,21929563,21929563,21990900,21990900,21990900,0,0,0
ABC,21990908,21990908,21990908,35532768,35532952,35532768,0,184,184
ABC,35532879,35532952,35532879,35561253,35561253,35561253,73,0,73
ABC,35561360,35561360,35561360,35692975,35692975,35692975,0,0,0
ABC,35870884,35870884,35870884,35927991,35927991,35927991,0,0,0
ABC,35928034,35928034,35928034,35956990,35956990,35956990,0,0,0
ABC,35961131,35961131,35961131,35974439,35974439,35974439,0,0,0
ABC,35976337,36044473,36044473,36163216,36163216,36163216,68136,0,68136
ABC,36163258,36163258,36163258,36177014,36177014,36177014,0,0,0
ABC,36185845,36185845,36185845,36363678,36363531,36363531,0,147,147
ABC,36366765,36363558,36363558,36374843,36374843,36374843,3207,0,3207
ABC,36375305,36375305,36375305,36395112,36395112,36395112,0,0,0
ABC,36445505,36445505,36445505,36451242,36451242,36451242,0,0,0
ABC,36469053,36451518,36451518,36841845,36805845,36841845,17535,36000,36000
ABC,36844568,36813027,36844568,36866062,36901211,36866062,31541,35149,35149
ABC,36867764,36902255,36867764,36901211,36914407,36901211,34491,13196,34491
AC,36902255,,36902255,36914408,,36914407,0,1,1
AC,36916624,,36914407,37443893,,37443893,2217,0,2217
ABC,37443893,37443893,37443893,37457188,37457188,37457188,0,0,0
AC,37457189,,37483832,44292283,,44292283,26643,0,26643
ABC,44650015,44650095,44650121,49814897,49814897,49814897,106,0,106
ABC,49815098,49815098,49815098,49815830,49815830,49815830,0,0,0
ABC,49815915,49815915,49815915,51156870,51240558,51156870,0,83688,83688
ABC,51156875,51240598,51156875,51156956,51242414,51156956,83723,85458,85458
ABC,51157148,51242497,51157148,51240558,51243229,51240558,85349,2671,85349
ABC,51240598,51243269,51240598,51242414,51243477,51242414,2671,1063,2671
ABC,51242497,51243561,51242497,51243229,51244446,51243229,1064,1217,1217
ABC,51243269,51244505,51243269,51243477,51246499,51243477,1236,3022,3022
ABC,51243561,51246583,51243561,51250807,51250807,51250807,3022,0,3022
ABC,51250865,51250865,51250865,51254817,51254817,51254817,0,0,0
ABC,51257854,51257854,51257854,51259732,51259376,51259376,0,356,356
ABC,51259748,51259434,51259434,51261041,51261041,51261041,314,0,314
ABC,51261070,51261070,51261070,51261867,51261867,51261867,0,0,0
ABC,51261930,51261930,51261930,51262822,51262822,51262822,0,0,0
ABC,51262851,51262851,51262995,51263847,51262955,51263533,144,892,892
ABC,51263887,51262995,51263887,51266635,51288008,51266635,892,21373,21373
ABC,51266635,51288081,51266635,51310395,51310395,51310395,21446,0,21446
ABC,51310437,51310437,51310437,51318270,51318270,51318270,0,0,0
ABC,51318354,51318354,51318354,51321547,51321547,51321547,0,0,0
ABC,51321563,51321563,51321563,51337012,51337012,51337012,0,0,0
ABC,51337101,51337101,51337101,51337637,51337655,51337637,0,18,18
ABC,51337653,51337695,51337653,51378334,51378357,51345135,42,33222,33222
ABC,51378356,51388452,51378333,52136680,52137718,52137718,10119,1038,10119
ABC,52136701,52137802,52137802,52146328,52164171,52146163,1101,18008,18008
ABC,52146328,52164230,52146192,52146785,52164317,52146786,18038,17532,18038
ABC,52146785,52164491,52146870,52154894,52166834,52154894,17706,11940,17706
ABC,52154894,52166874,52154894,52157390,52168752,52157390,11980,11362,11980
ABC,52158097,52171060,52158097,52164171,52181023,52164171,12963,16852,16852
ABC,52164230,52181064,52164230,52164317,52185060,52164317,16834,20743,20743
ABC,52164491,52185090,52164491,52166834,52186685,52166834,20599,19851,20599
ABC,52166874,52186726,52166874,52168752,52193674,52168752,19852,24922,24922
ABC,52171060,52193748,52171060,52181023,52194145,52181023,22688,13122,22688
AC,52181064,,52181064,52185060,,52185060,0,0,0
AC,52185090,,52185090,52186685,,52186685,0,0,0
AC,52186726,,52186726,52193674,,52193674,0,0,0
AC,52193748,,52193748,52194145,,52194145,0,0,0
