category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,220,220,220,381564,381564,381564,0,0,0
ABC,381599,381599,381599,382047,382047,382047,0,0,0
ABC,382053,382053,382053,5987673,5984589,5984589,0,3084,3084
ABC,5987699,5984977,5984977,5988031,5988031,5988031,2722,0,2722
ABC,5988298,5988298,5988298,5994715,6007889,5994715,0,13174,13174
ABC,5997143,6008406,5997143,5998715,6009586,5997800,11263,11786,11786
ABC,5999875,6009922,5997839,6008586,6037836,6008586,12083,29250,29250
ABC,6008594,6037914,6008594,6009586,6042402,6009586,29320,32816,32816
ABC,6009922,6042419,6009922,6038306,6044568,6038306,32497,6262,32497
ABC,6038389,6045965,6038389,6042402,6047069,6042402,7576,4667,7576
ABC,6042419,6047924,6042419,6044568,6060354,6044568,5505,15786,15786
ABC,6045965,6060876,6045965,6047069,6061059,6047069,14911,13990,14911
ABC,6047924,6061877,6047924,6060354,6067178,6060354,13953,6824,13953
ABC,6060876,6067218,6060876,6061059,6081515,6061059,6342,20456,20456
AC,6061877,,6061877,6067178,,6067178,0,0,0
AC,6067218,,6067218,6081515,,6081515,0,0,0
ABC,6134958,6134958,6134958,11996896,11996896,11996896,0,0,0
ABC,12006149,12006149,12006149,12017221,12017221,12017221,0,0,0
ABC,12017245,12017245,12017245,14494181,14494181,14494181,0,0,0
ABC,14512344,14512344,14512344,14523456,14529718,14523456,0,6262,6262
AC,14523477,,14523477,30101713,,30101713,0,0,0
AC,30117869,,30117869,30281691,,30281691,0,0,0
AC,30354198,,30354198,45247939,,45247939,0,0,0
