category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
AB,968,968,,21989396,21989396,,0,0,0
ABC,21989517,21989517,21989517,22119280,22119280,22119280,0,0,0
ABC,28299364,28299364,28299364,28299532,28299532,28299532,0,0,0
ABC,28309614,28309614,28309614,38333145,38333145,38333145,0,0,0
ABC,38433216,38433216,38433216,38483815,38483815,38483815,0,0,0
ABC,38483848,38483848,38483848,43288188,43288188,43288188,0,0,0
ABC,43288206,43288206,43288206,43288436,43288436,43288436,0,0,0
ABC,43288449,43288449,43288449,43345922,43345922,43345922,0,0,0
ABC,43345926,43345926,43345926,43346041,43346041,43346041,0,0,0
ABC,43346042,43346042,43346042,52518615,52518615,52518615,0,0,0
ABC,52518628,52518628,52518628,52523618,52523618,52523618,0,0,0
ABC,52523658,52523658,52523658,55121903,55121903,55121903,0,0,0
ABC,55121961,55121961,55121961,55225313,55225313,55225313,0,0,0
ABC,55225321,55225321,55225321,59299606,59299606,59299606,0,0,0
ABC,59299606,59299606,59299606,59309303,59309303,59309303,0,0,0
ABC,59310981,59349245,59310981,59488079,59488079,59488079,38264,0,38264
ABC,59488112,59488112,59488112,59536919,59536919,59536919,0,0,0
AC,59606499,,59606499,69434510,,69434510,0,0,0
ABC,69459119,69424993,69459119,69523135,69523135,69523135,34126,0,34126
ABC,69536585,69536585,69536585,71992060,71992060,71992060,0,0,0
ABC,72015712,72015712,72015712,72100342,72100342,72100342,0,0,0
ABC,72154068,72154068,72154068,83895320,83895281,83895291,0,39,39
ABC,83895556,83895289,83895318,83897097,83897097,83897097,267,0,267
ABC,83897433,83897433,83897433,91842550,91842550,91842550,0,0,0
ABC,91874412,91874412,91874412,92082103,92082103,92082103,0,0,0
ABC,92098309,92098309,92098309,112185321,112185321,112185321,0,0,0
ABC,112223727,112223727,112223727,112400749,112400749,112400749,0,0,0
ABC,112407818,112407818,112407818,114283332,114283332,114283332,0,0,0
ABC,114283512,114283512,114283512,114284611,114284611,114284611,0,0,0
ABC,114284818,114284818,114284818,114869459,114869459,114869459,0,0,0
ABC,114903661,114903661,114903661,114903764,114903764,114903764,0,0,0
ABC,114915858,114915858,114915858,114996692,114996692,114996692,0,0,0
ABC,114996853,114996853,114996853,115004353,115007798,115004353,0,3445,3445
AC,115005704,,115005704,124870680,,124870680,0,0,0
ABC,124870779,124870779,124870779,124872288,124872288,124872288,0,0,0
ABC,124878342,124878342,124878342,133328105,133328105,133328105,0,0,0
ABC,133328113,133328113,133328113,133414799,133414799,133414799,0,0,0
ABC,133434624,133434624,133434624,139490834,139490834,139490834,0,0,0
ABC,139552879,139552879,139552879,139856822,139856822,139856822,0,0,0
ABC,161208973,161215813,161215813,161209463,161250303,161250303,6840,40840,40840
ABC,161215813,161252030,161252030,161250303,161280916,161280916,36217,30613,36217
BC,,22119360,22119360,,26145291,26145291,0,0,0
BC,,26154047,26154047,,26264839,26264839,0,0,0
BC,,26318808,26318808,,28255520,28255520,0,0,0
BC,,139887229,139887229,,161051109,161051109,0,0,0
BC,,161130156,161130156,,161209463,161209463,0,0,0
