category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,169,169,169,2805716,2805716,2805716,0,0,0
ABC,2848934,2848934,2848934,2887228,2887228,2887228,0,0,0
ABC,2887234,2887234,2887234,18771335,18771335,18771335,0,0,0
ABC,18856138,18856138,18856138,19096218,19096218,19096218,0,0,0
AC,19096589,,19096589,20127865,,20127865,0,0,0
AC,20141226,,20141226,20241381,,20241381,0,0,0
AC,20260584,,20260584,39321990,,39321990,0,0,0
ABC,39326549,39326549,39326549,39327486,39327486,39327486,0,0,0
AC,39327495,,39327495,44827011,,44827011,0,0,0
ABC,44827025,44827025,44827025,44831537,44831537,44831537,0,0,0
ABC,44831619,44831619,44831619,46331185,46331868,46331868,0,683,683
ABC,46331247,46335467,46335467,46342298,46342378,46342298,4220,80,4220
ABC,46342377,46342440,46342377,47048155,47048155,47048155,63,0,63
ABC,47131503,47131503,47131503,47157545,47157545,47157545,0,0,0
ABC,47691710,47691710,47691710,49635252,49635252,49635252,0,0,0
ABC,49679393,49679393,49679393,49696222,49696222,49696222,0,0,0
AB,49702196,49702196,,50828778,50828778,,0,0,0
ABC,50855937,50855937,50855937,50932212,50932212,50932212,0,0,0
AC,51029885,,51029885,53035956,,53030600,0,5356,5356
ABC,53035956,53035955,53035955,53040074,53040074,53040074,1,0,1
ABC,87813097,87813097,87813097,87829947,87829947,87829947,0,0,0
ABC,87838347,87838347,87838347,88681996,88681996,88681996,0,0,0
ABC,88707293,88707293,88707293,88713495,88713495,88713495,0,0,0
ABC,88797885,88797885,88797885,99549675,99549675,99549675,0,0,0
ABC,99550182,99550182,99550182,99552669,99552669,99552669,0,0,0
ABC,99553226,99553226,99553226,99570304,99570304,99570304,0,0,0
ABC,99571803,99571803,99571803,99573352,99573352,99573352,0,0,0
ABC,99574367,99574367,99574367,107675839,107675839,107675839,0,0,0
ABC,107717013,107717013,107717013,108038009,108038009,108038009,0,0,0
AC,108222698,,108222698,110598207,,110598207,0,0,0
ABC,110598226,110598226,110598226,110598463,110598463,110598463,0,0,0
ABC,110673631,110673631,110673631,111843398,111843398,111843398,0,0,0
BC,,58345541,58345541,,58466682,58466682,0,0,0
BC,,66586567,66586567,,66649487,66649487,0,0,0
BC,,66649494,66649494,,87813020,87813020,0,0,0
