category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,15133772,15133772,15133772,15228755,15228755,15228755,0,0,0
ABC,15282538,15282538,15282538,16986347,16986347,16986347,0,0,0
ABC,16986413,16986413,16986413,16987628,16987628,16987628,0,0,0
ABC,16987938,16987938,16987938,23997576,23941463,23997576,0,56113,56113
ABC,24028321,23980337,24028321,24043863,24043863,24043863,47984,0,47984
AC,24048676,,24048676,24081090,,24080988,0,102,102
AC,24081098,,24081068,24110469,,24092235,30,18234,18234
AC,24114457,,24094514,25024635,,25024635,19943,0,19943
AC,25024668,,25024668,25345855,,25345855,0,0,0
AC,25345870,,25345870,42000791,,42000791,0,0,0
ABC,42014662,42014662,42014662,42060735,42060735,42060735,0,0,0
ABC,42124529,42124529,42124529,43453467,43453467,43453467,0,0,0
ABC,43471006,43471006,43471006,43511347,43511347,43511347,0,0,0
ABC,43511351,43511351,43511351,43773382,43773382,43773382,0,0,0
ABC,43773382,43773382,43773382,44004974,44004974,44004974,0,0,0
ABC,44044777,44044777,44044777,49933849,49933849,49933849,0,0,0
ABC,49933872,49933872,49933872,49934086,49934086,49934086,0,0,0
ABC,49934096,49934096,49934096,56716207,56716208,56716207,0,1,1
ABC,56716207,56716417,56716207,56717715,56717715,56717715,210,0,210
ABC,56717801,56717801,56717801,56718664,56718664,56718664,0,0,0
ABC,56719239,56719239,56719239,56724797,56724797,56724797,0,0,0
ABC,56724907,56724907,56724907,56725471,56725471,56725471,0,0,0
ABC,56725677,56725677,56725677,56727093,56727093,56727093,0,0,0
ABC,56727330,56727330,56727330,57497287,57497287,57497287,0,0,0
ABC,57511687,57511687,57511687,57650723,57650723,57650723,0,0,0
ABC,57654689,57654689,57654689,59719983,59719983,59719983,0,0,0
ABC,59721390,59721390,59721390,59735029,59735029,59735029,0,0,0
ABC,59736322,59736322,59736322,61889133,61889133,61889133,0,0,0
ABC,61979476,61979476,61979476,62083441,62083441,62083441,0,0,0
ABC,62083478,62083478,62083478,62245770,62245770,62245770,0,0,0
ABC,62245785,62245785,62245785,62291100,62291100,62291100,0,0,0
ABC,62292150,62292150,62292150,63230572,63230572,63230572,0,0,0
ABC,63260643,63260643,63260643,63359437,63359437,63359437,0,0,0
ABC,63368701,63368701,63368701,64375972,64375965,64375965,0,7,7
ABC,64375973,64375971,64375971,64405113,64405113,64405113,2,0,2
ABC,64408684,64408684,64408684,64548244,64615960,64615960,0,67716,67716
ABC,64548278,64619730,64619730,64574312,64627604,64627604,71452,53292,71452
AC,64628114,,64628114,68634977,,68634977,0,0,0
ABC,68635218,68635218,68635218,68636104,68636104,68636104,0,0,0
ABC,68636520,68636520,68636520,68638009,68637801,68637801,0,208,208
ABC,68638421,68638008,68638008,68640261,68640261,68640261,413,0,413
ABC,68642419,68642419,68642419,68860544,68860544,68860544,0,0,0
BC,,30806,30806,,1920338,1920338,0,0,0
BC,,1920362,1920362,,1925024,1925024,0,0,0
BC,,1925026,1925026,,15133764,15133764,0,0,0
