category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,128215,128215,128215,5137589,5137589,5137589,0,0,0
ABC,5139974,5139974,5139974,5143839,5143839,5143839,0,0,0
ABC,5148812,5148812,5148812,16200695,16200695,16200695,0,0,0
ABC,16212553,16212553,16212553,16266252,16266252,16266252,0,0,0
AB,55617599,55617599,,55670034,55670034,,0,0,0
AC,64866685,,64866685,64866736,,64866736,0,0,0
AC,64866738,,64866738,67848217,,67848217,0,0,0
ABC,67862683,67862683,67862683,67920040,67940933,67940933,0,20893,20893
ABC,67920335,67941017,67941017,68340413,68340413,68340413,20682,0,20682
ABC,68340484,68340484,68340484,68364220,68364220,68364220,0,0,0
ABC,68364294,68364294,68364294,73111426,73111426,73111426,0,0,0
ABC,73146627,73146627,73146627,73146943,73146943,73146943,0,0,0
ABC,81053096,81053096,81053096,81109744,81109744,81109744,0,0,0
AC,91185872,,91171717,91282890,,91282890,14155,0,14155
AC,91293229,,91293229,109044572,,109044567,0,5,5
ABC,109155717,109155708,109155708,110172898,110172898,110172898,9,0,9
ABC,110172898,110172898,110172898,110173270,110173270,110173270,0,0,0
ABC,110173924,110183498,110183498,111599957,111604213,111604213,9574,4256,9574
ABC,111803164,111812536,111812536,114234416,114234416,114234416,9372,0,9372
ABC,114234752,114234752,114234752,114236252,114236252,114236252,0,0,0
ABC,114236261,114236261,114236261,121734581,121734581,121734581,0,0,0
ABC,121734603,121734603,121734603,121803632,121803632,121803632,0,0,0
ABC,121826593,121826593,121826593,125191624,125191624,125191624,0,0,0
ABC,125191664,125191664,125191664,125235678,125235729,125235678,0,51,51
ABC,125235727,125235828,125235727,125853969,125853969,125853969,101,0,101
BC,,35764224,35764224,,35998317,35998317,0,0,0
BC,,73205606,73205606,,81053092,81053092,0,0,0
BC,,109044571,109044571,,109054716,109054716,0,0,0
BC,,110173924,110173924,,110174453,110180192,0,5739,5739
BC,,110176054,110180193,,110176235,110183447,4139,7212,7212
BC,,111621500,111621500,,111803165,111803165,0,0,0
