"chromosome","n_segment_groups","n_segments","total_bp","mean_segment_length","median_segment_length","sd_segment_length","mean_methylation","median_methylation"
"NC_059442.1",2,67,173340217,2587167.4179,95070,6019767.148,0.7014,0.7144
"NC_059443.1",3,213,94372474,443063.2582,17167,1676178.1757,0.5802,0.6381
"NC_059444.1",4,276,104559812,378839.8986,5561,1941847.5646,0.5751,0.6345
"NC_059445.1",2,59,89961128,1524764.8814,59772,3600695.3276,0.5822,0.7342
"NC_059446.1",2,62,91730616,1479526.0645,72549,4356561.5928,0.6192,0.7033
"NC_059447.1",2,33,95290746,2887598.3636,91849,5894188.1141,0.5866,0.8497
"NC_059448.1",2,45,68427205,1520604.5556,103965,2987696.7169,0.594,0.8279
"NC_059449.1",2,85,28167904,331387.1059,5113,1352203.9199,0.5367,0.5294
"NC_059450.1",2,52,160459170,3085753.2692,120277.5,5508181.7002,0.6597,0.7816
"NC_059451.1",2,37,125324742,3387155.1892,181665,6196281.1103,0.691,0.7694
"NC_059452.1",2,47,110216495,2345031.8085,320996,4755435.3336,0.6883,0.798
"NC_059453.1",2,65,100797409,1550729.3692,38664,5162787.4536,0.5935,0.7185
"NC_059454.1",2,53,113694492,2145179.0943,39795,5690530.2737,0.6313,0.677
"NC_059455.1",2,59,100959851,1711183.9153,123543,3286301.022,0.6282,0.6937
"NC_059456.1",2,49,109521680,2235136.3265,65894,3676409.4433,0.6183,0.6952
"NC_059457.1",3,39,95207149,2441208.9487,25913,8151486.5259,0.6206,0.6897
"NC_059458.1",2,57,86454336,1516742.7368,145231,3303078.1493,0.6336,0.743
"NC_059459.1",3,105,83103489,791461.8,13295,2631899.7324,0.6116,0.6589
"NC_059460.1",2,39,87611770,2246455.641,102380,3447186.7636,0.6572,0.8522
"NC_059461.1",2,31,95704823,3087252.3548,297069,5150098.0284,0.6583,0.8442
"NC_059462.1",2,27,59468834,2202549.4074,73410,4372356.4119,0.6493,0.8344
"NC_059463.1",2,45,63383267,1408517.0444,3823,3067462.0756,0.6333,0.7998
"NC_059464.1",2,47,52019351,1106794.7021,43068,2663800.3434,0.7066,0.7918
"NC_059465.1",2,21,49044640,2335459.0476,76332,3933434.4047,0.6529,0.8328
"NC_059466.1",2,23,53813073,2339698.8261,24067,6586080.1991,0.6844,0.8234
"NC_059467.1",2,49,55109672,1124687.1837,24318,2185561.0821,0.5897,0.6965
"NC_059468.1",2,25,44935370,1797414.8,12430,4299676.8093,0.6759,0.7796
"NC_059469.1",7,9,41407857,4600873,769574,7123010.9414,0.7421,0.8902
"NC_059470.1",9,10,42737612,4273761.2,36731.5,11474866.8434,0.5411,0.6192
