seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,850_T2,NC_059442.1,33,2325935,70482.8788,27531,97416.2181,155,726,83124,411632,0.5171,0.5219,0.1683,0.157,0.4047,0.6409,0.8121,0.3254,411632,155,0.0134
2,850_T2,NC_059442.1,26,170825650,6570217.3077,3546955.5,8423663.901,343,495033.5,7302239,31295378,0.9047,0.9038,0.0283,0.8486,0.8914,0.9129,0.9746,0.0313,31295378,343,0.9866
1,850_T2,NC_059443.1,27,99032,3667.8519,1563,6407.7293,132,679.5,2765.5,31137,0.051,0.0517,0.0418,0,0.0162,0.0846,0.1259,0.8189,31137,132,0.001
2,850_T2,NC_059443.1,76,2642739,34772.8816,6485,91761.3431,81,1442.25,23782.75,488483,0.4265,0.4439,0.1218,0.18,0.3426,0.5058,0.7059,0.2856,488483,81,0.0279
3,850_T2,NC_059443.1,96,92034141,958688.9688,79360,2422253.8688,421,21425.25,434251.25,13263203,0.8495,0.8545,0.0559,0.7082,0.813,0.8923,0.9727,0.0658,13263203,421,0.9711
1,850_T2,NC_059444.1,61,443450,7269.6721,1081,19596.0422,182,716,4198,103145,0.1531,0.1529,0.0807,0.0053,0.0939,0.2243,0.291,0.527,103145,182,0.0042
2,850_T2,NC_059444.1,85,563241,6626.3647,1396,18246.3412,171,650,5809,153750,0.4604,0.4549,0.0889,0.3046,0.3994,0.5231,0.6775,0.1932,153750,171,0.0054
3,850_T2,NC_059444.1,132,103799751,786361.75,21630,3428729.4315,252,5876,93873.25,31240564,0.8319,0.8385,0.0535,0.6985,0.7901,0.8726,0.9452,0.0643,31240564,252,0.9904
1,850_T2,NC_059445.1,32,1046078,32689.9375,2884,62143.4646,315,1229.25,42542.5,283896,0.2874,0.2496,0.2134,0.004,0.0816,0.4365,0.7146,0.7424,283896,315,0.0116
2,850_T2,NC_059445.1,31,88863785,2866573.7097,519769,4624404.1299,3283,104794,3425168.5,16666266,0.8868,0.8893,0.0254,0.8183,0.8748,0.8948,0.9491,0.0286,16666266,3283,0.9884
1,850_T2,NC_059446.1,31,2102919,67836.0968,8289,127389.5944,113,1257,88070.5,592484,0.3689,0.3859,0.2292,0.0125,0.1998,0.5255,0.968,0.6212,592484,113,0.0229
2,850_T2,NC_059446.1,27,89538791,3316251.5185,1140129,6576710.6642,3055,543118,3315329.5,33553303,0.8886,0.8908,0.0208,0.8349,0.8765,0.9031,0.9274,0.0234,33553303,3055,0.9771
1,850_T2,NC_059447.1,6,417767,69627.8333,21312.5,94981.2049,1237,3243.75,115905.25,229248,0.0583,0.0659,0.0385,0.004,0.0317,0.0826,0.1055,0.6606,229248,1237,0.0044
2,850_T2,NC_059447.1,12,2053906,171158.8333,74443,384201.6389,87,6888,98711.75,1374623,0.5541,0.5945,0.1897,0.2465,0.4137,0.6656,0.8372,0.3424,1374623,87,0.0215
3,850_T2,NC_059447.1,15,92974035,6198269,3440472,8118985.8909,827574,1255546.5,4979073.5,30664939,0.9007,0.8998,0.0144,0.8754,0.8935,0.9107,0.9241,0.016,30664939,827574,0.9741
1,850_T2,NC_059448.1,9,397717,44190.7778,7874,76639.9095,1129,1416,40341,231592,0.0953,0.0808,0.0434,0.035,0.0725,0.1388,0.1653,0.4552,231592,1129,0.0058
2,850_T2,NC_059448.1,12,478592,39882.6667,36269.5,42329.1409,1410,10536.75,48201.5,157404,0.4139,0.416,0.086,0.2786,0.348,0.482,0.5516,0.2078,157404,1410,0.007
3,850_T2,NC_059448.1,22,67374383,3062471.9545,1351835,4193060.7744,564,209837.5,3696940.25,15102958,0.8948,0.8863,0.0328,0.8558,0.8732,0.9131,0.9674,0.0367,15102958,564,0.9872
1,850_T2,NC_059449.1,68,468916,6895.8235,2047,21166.1921,198,916.5,4379.5,140634,0.3858,0.3676,0.1874,0.0198,0.2722,0.5368,0.7895,0.4858,140634,198,0.0164
2,850_T2,NC_059449.1,21,28139324,1339967.8095,156176,2609276.7194,4613,34498,635866,7624919,0.8771,0.873,0.0291,0.8208,0.864,0.903,0.9195,0.0332,7624919,4613,0.9836
1,850_T2,NC_059450.1,27,3770472,139647.1111,28886,336949.3424,103,1547.5,81950,1596123,0.4826,0.5401,0.2664,0,0.3059,0.6149,0.9525,0.5521,1596123,103,0.0235
2,850_T2,NC_059450.1,17,156975092,9233828.9412,7507525,9519831.0939,1374,584641,14978574,28254535,0.9024,0.9038,0.009,0.8856,0.8983,0.9077,0.9171,0.01,28254535,1374,0.9765
1,850_T2,NC_059451.1,20,2608659,130432.95,18711,312747.0553,154,1300.75,133784.5,1417092,0.466,0.4887,0.2444,0.015,0.3035,0.5992,0.8582,0.5245,1417092,154,0.0209
2,850_T2,NC_059451.1,17,122286556,7193326.8235,4464848,7805286.3701,415368,2421868,7426197,27461307,0.9117,0.9137,0.0154,0.8755,0.9052,0.9222,0.9336,0.0169,27461307,415368,0.9791
1,850_T2,NC_059452.1,4,265598,66399.5,11515.5,115946.3917,2487,5273.25,72641.75,240080,0.0904,0.087,0.086,0,0.0296,0.1478,0.1877,0.9508,240080,2487,0.0024
2,850_T2,NC_059452.1,18,755593,41977.3889,12236,52497.6513,85,2653.25,69735.5,152188,0.5554,0.5668,0.0895,0.4246,0.4775,0.6409,0.6835,0.1611,152188,85,0.0069
3,850_T2,NC_059452.1,15,55433599,3695573.2667,1943542,4133268.9142,347222,832970,4529448,12405707,0.8625,0.8744,0.0433,0.7928,0.8272,0.8874,0.9381,0.0502,12405707,347222,0.5031
4,850_T2,NC_059452.1,8,53720282,6715035.25,5863544.5,6429087.0207,294386,1138598.25,9461061,18771166,0.913,0.9136,0.0026,0.9091,0.9107,0.9152,0.9159,0.0028,18771166,294386,0.4876
1,850_T2,NC_059453.1,13,306084,23544.9231,3816,45335.6387,362,1434,15087,159289,0.0984,0.1178,0.0466,0.0302,0.0459,0.1266,0.1636,0.4734,159289,362,0.003
2,850_T2,NC_059453.1,6,122977,20496.1667,2228.5,44863.4251,721,1971.25,3454,112051,0.3286,0.3439,0.0613,0.2491,0.2786,0.3699,0.3997,0.1865,112051,721,0.0012
3,850_T2,NC_059453.1,7,34234,4890.5714,1818,7620.3801,145,718,4733,21369,0.5589,0.5547,0.0315,0.5235,0.538,0.5728,0.6122,0.0564,21369,145,3e-04
4,850_T2,NC_059453.1,7,210725,30103.5714,7898,44695.4976,1513,2942,34831,125768,0.7664,0.7646,0.0272,0.7234,0.7541,0.7843,0.7999,0.0355,125768,1513,0.0021
5,850_T2,NC_059453.1,20,100704101,5035205.05,1017073,11288627.5447,125,56355.25,4381186.5,48643783,0.8881,0.8897,0.0258,0.842,0.8679,0.9068,0.9312,0.029,48643783,125,0.9934
1,850_T2,NC_059454.1,29,1589398,54806.8276,35568,74989.4698,323,940,94859,309037,0.4008,0.4016,0.1955,0.0554,0.2575,0.537,0.7862,0.4879,309037,323,0.014
2,850_T2,NC_059454.1,24,111881878,4661744.9167,785012,7721096.1854,470,10908,4888331.5,28753218,0.8943,0.8963,0.0307,0.8246,0.8827,0.9156,0.9566,0.0344,28753218,470,0.986
1,850_T2,NC_059455.1,36,4931101,136975.0278,16574,267679.7905,162,2656,161543.5,1307896,0.4238,0.4227,0.256,0.0079,0.2535,0.6071,0.8634,0.604,1307896,162,0.0488
2,850_T2,NC_059455.1,19,96160882,5061099.0526,3797994,4609361.8952,9320,1667487.5,7015145,15780790,0.9104,0.9107,0.0159,0.8796,0.8992,0.9204,0.936,0.0175,15780790,9320,0.9512
1,850_T2,NC_059456.1,29,5842760,201474.4828,1226,944094.8869,166,432,41474,5102874,0.4419,0.4133,0.2689,0.0101,0.2308,0.7192,0.8714,0.6085,5102874,166,0.053
