seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,282_T1,NC_059442.1,30,4748161,158272.0333,22126,473712.3396,48,970.25,143356.5,2605172,0.5346,0.5077,0.1872,0.1968,0.4446,0.6528,0.9703,0.3501,2605172,48,0.0273
2,282_T1,NC_059442.1,20,169048929,8452446.45,3966400.5,11745982.6266,6200,1879024.25,10412636.75,47236735,0.9035,0.9068,0.0146,0.8731,0.8947,0.9149,0.9207,0.0162,47236735,6200,0.9727
1,282_T1,NC_059443.1,14,49387,3527.6429,909,8037.5197,117,421.5,1679.25,30554,0.0142,0.0155,0.0076,0,0.0099,0.0176,0.0255,0.5327,30554,117,5e-04
2,282_T1,NC_059443.1,92,1946810,21160.9783,5004.5,52444.0938,134,1756,18726.5,448831,0.3862,0.3959,0.1941,0.0389,0.232,0.5159,0.7542,0.5025,448831,134,0.0206
3,282_T1,NC_059443.1,83,92683960,1116674.2169,79993,3272742.3553,868,20181,501580,25016523,0.8687,0.8735,0.0452,0.7562,0.8366,0.9052,0.9556,0.052,25016523,868,0.9789
1,282_T1,NC_059444.1,42,421777,10042.3095,895,28490.3944,141,732,1667,122027,0.094,0.0853,0.0521,0.0035,0.0597,0.1346,0.1742,0.5539,122027,141,0.004
2,282_T1,NC_059444.1,98,755557,7709.7653,2300,17034.9985,54,808.75,6095.75,108484,0.4162,0.4038,0.1397,0.1863,0.2971,0.5147,0.7215,0.3357,108484,54,0.0072
3,282_T1,NC_059444.1,122,103324589,846922.8607,23132,3476131.0701,164,8546.75,102047.75,31202581,0.8533,0.8597,0.0527,0.7259,0.8209,0.896,0.9654,0.0618,31202581,164,0.9887
1,282_T1,NC_059445.1,13,392075,30159.6154,2826,55100.9666,776,2392,15562,180046,0.0858,0.075,0.0522,0.0103,0.0568,0.142,0.1737,0.6078,180046,776,0.0044
2,282_T1,NC_059445.1,17,877292,51605.4118,2906,159696.7007,350,860,17063,664623,0.4913,0.4574,0.168,0.2351,0.3898,0.5746,0.8135,0.3418,664623,350,0.0098
3,282_T1,NC_059445.1,27,88434517,3275352.4815,596404,5189499.9013,9345,104334.5,4390063.5,19928071,0.9061,0.9104,0.0195,0.8653,0.8937,0.9206,0.938,0.0216,19928071,9345,0.9858
1,282_T1,NC_059446.1,25,787948,31517.92,3080,62363.5447,113,496,26780,264990,0.3213,0.2833,0.2275,0.007,0.1323,0.5609,0.7401,0.7082,264990,113,0.0086
2,282_T1,NC_059446.1,23,90850821,3950035.6957,1252594,5757479.1735,9394,496418.5,4330717,20856496,0.9005,0.9012,0.0223,0.8595,0.8826,0.9202,0.941,0.0248,20856496,9394,0.9914
1,282_T1,NC_059447.1,16,905441,56590.0625,36762,65851.0051,947,5198.75,71962,229271,0.2608,0.1946,0.2202,0,0.1112,0.4267,0.7216,0.8442,229271,947,0.0095
2,282_T1,NC_059447.1,17,94523684,5560216.7059,3440549,7233095.4015,45335,1827960,5883507,27604634,0.9118,0.9093,0.0219,0.8724,0.9042,0.9187,0.9617,0.024,27604634,45335,0.9905
1,282_T1,NC_059448.1,20,898874,44943.7,11654,66675.5351,564,1444.5,50382.25,231592,0.2636,0.2179,0.2041,0.0273,0.0809,0.3947,0.7963,0.7742,231592,564,0.0132
2,282_T1,NC_059448.1,19,67282925,3541206.5789,1198336,5499631.5849,863,240078,2278224,17882375,0.9049,0.9051,0.0224,0.8622,0.8909,0.92,0.948,0.0247,17882375,863,0.9868
1,282_T1,NC_059449.1,59,509431,8634.4237,2240,21444.1507,198,909,5776.5,140634,0.3978,0.4085,0.1895,0.0064,0.2789,0.5494,0.8027,0.4764,140634,198,0.018
2,282_T1,NC_059449.1,26,27809026,1069577.9231,173743,2302105.6869,628,43285.25,474315,7624913,0.8919,0.9014,0.0356,0.8132,0.8775,0.914,0.9619,0.04,7624913,628,0.982
1,282_T1,NC_059450.1,23,1053181,45790.4783,38384,46265.8922,103,1676,83966.5,138357,0.3991,0.4473,0.2205,0,0.2616,0.5508,0.6874,0.5524,138357,103,0.0066
2,282_T1,NC_059450.1,23,159418141,6931223.5217,4602863,7647549.5163,1374,844521.5,10882367.5,27468598,0.9104,0.9113,0.0176,0.8725,0.9,0.9204,0.9489,0.0194,27468598,1374,0.9934
