seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,182_T1,NC_059442.1,24,1402777,58449.0417,12488,107172.2351,115,2070.75,45788.75,420144,0.5353,0.5346,0.1927,0.1883,0.448,0.6615,0.9885,0.3599,420144,115,0.0081
2,182_T1,NC_059442.1,16,172715381,10794711.3125,6661295.5,13844683.8334,6200,4351988.25,13012488,57001373,0.9098,0.9131,0.0139,0.8804,0.9019,0.9208,0.9244,0.0152,57001373,6200,0.9919
1,182_T1,NC_059443.1,30,678267,22608.9,2170.5,75526.2119,132,970.75,8032.25,403460,0.0632,0.0572,0.0505,0,0.0139,0.1105,0.1438,0.7988,403460,132,0.0072
2,182_T1,NC_059443.1,69,1609547,23326.7681,9625,59034.4987,127,1549,21374,458515,0.4489,0.4542,0.1218,0.181,0.3524,0.5218,0.7273,0.2713,458515,127,0.0171
3,182_T1,NC_059443.1,88,92108894,1046691.9773,65445,2497174.9419,1165,19673.75,594592.5,15703268,0.8742,0.8767,0.0451,0.7687,0.8496,0.9096,0.9751,0.0516,15703268,1165,0.9758
1,182_T1,NC_059444.1,130,910876,7006.7385,1389.5,23459.7954,120,789,3472.75,213377,0.3214,0.3241,0.1759,0.0038,0.1683,0.4676,0.7152,0.5474,213377,120,0.0087
2,182_T1,NC_059444.1,122,104043782,852817.8852,25558,3597065.8187,94,8007.5,86482,31177708,0.8565,0.8663,0.053,0.7269,0.8199,0.8953,0.9532,0.0619,31177708,94,0.9913
1,182_T1,NC_059445.1,30,1041254,34708.4667,4450,64167.8951,174,1083.75,29932.25,281490,0.3338,0.3201,0.2157,0,0.1708,0.4747,0.8261,0.6463,281490,174,0.0115
2,182_T1,NC_059445.1,27,89124519,3300908.1111,643260,4688362.8893,9345,104457,6153272,17772199,0.9116,0.909,0.016,0.8873,0.8981,0.9247,0.9495,0.0175,17772199,9345,0.9885
1,182_T1,NC_059446.1,24,1134082,47253.4167,13133,71127.0662,113,1404.5,55660.25,263663,0.3487,0.3335,0.2216,0.0139,0.155,0.5295,0.818,0.6357,263663,113,0.0124
2,182_T1,NC_059446.1,22,90177367,4098971.2273,1240124,7339388.241,37291,654884.25,4148242.75,33178983,0.9102,0.9121,0.0212,0.8593,0.9026,0.9212,0.9506,0.0233,33178983,37291,0.9876
1,182_T1,NC_059447.1,7,250482,35783.1429,8254,52693.3811,1237,4141.5,51232.5,130243,0.1102,0.1075,0.0729,0.013,0.0548,0.1707,0.2,0.661,130243,1237,0.0026
2,182_T1,NC_059447.1,3,519786,173262,146863,73892.2284,116195,131529,201795.5,256728,0.4965,0.48,0.0434,0.4638,0.4719,0.5128,0.5456,0.0873,256728,116195,0.0055
3,182_T1,NC_059447.1,11,94490874,8590079.4545,5206165,9305759.4749,54788,1223673,13296532.5,30664939,0.9071,0.9089,0.0199,0.8725,0.8958,0.9225,0.9335,0.022,30664939,54788,0.9919
1,182_T1,NC_059448.1,21,896817,42705.5714,32099,60855.9483,214,1840,49188,271397,0.2925,0.288,0.1346,0.0346,0.1751,0.3919,0.4998,0.4603,271397,214,0.0132
2,182_T1,NC_059448.1,22,67289393,3058608.7727,840095,5148971.5002,564,35538.25,3548346,19352356,0.9124,0.9147,0.0278,0.8425,0.8959,0.9295,0.9638,0.0305,19352356,564,0.9868
1,182_T1,NC_059449.1,50,670953,13419.06,3093.5,36339.03,198,2196.25,5282,183379,0.4351,0.4243,0.2209,0,0.3377,0.6,0.8431,0.5077,183379,198,0.0235
2,182_T1,NC_059449.1,17,27822765,1636633.2353,284314,2814271.4111,4775,129544,882297,7549551,0.9022,0.911,0.02,0.8633,0.8872,0.917,0.9238,0.0221,7549551,4775,0.9765
1,182_T1,NC_059450.1,20,1247464,62373.2,4868.5,104241.2821,66,1055.25,65467,365024,0.3976,0.4759,0.221,0.0121,0.2148,0.5644,0.6636,0.5557,365024,66,0.0078
2,182_T1,NC_059450.1,20,159407043,7970352.15,7311323,7161117.7556,47263,2297908.25,10588896.5,24995443,0.9188,0.9226,0.0164,0.8817,0.9089,0.9294,0.9463,0.0178,24995443,47263,0.9922
1,182_T1,NC_059451.1,24,1261002,52541.75,32559.5,58947.235,156,2683,91860.5,195440,0.5429,0.5748,0.2087,0.0194,0.4355,0.705,0.8712,0.3844,195440,156,0.0101
2,182_T1,NC_059451.1,21,123716751,5891273.8571,4118893,7145230.1153,4762,1752707,6054534,30559036,0.9239,0.9273,0.0168,0.8931,0.9173,0.9351,0.9514,0.0182,30559036,4762,0.9899
1,182_T1,NC_059452.1,3,259396,86465.3333,16829,133227.3343,2487,9658,128454.5,240080,0.0931,0.0901,0.0279,0.0669,0.0785,0.1063,0.1224,0.2998,240080,2487,0.0023
2,182_T1,NC_059452.1,6,988462,164743.6667,39970.5,258333.0716,161,1680,210210,652487,0.4385,0.4417,0.0405,0.3917,0.4043,0.4628,0.4944,0.0924,652487,161,0.0089
3,182_T1,NC_059452.1,6,261967,43661.1667,8739,82253.1733,125,4094.25,26004.75,210058,0.6271,0.6229,0.0267,0.599,0.6048,0.6511,0.6585,0.0426,210058,125,0.0024
4,182_T1,NC_059452.1,4,4929926,1232481.5,1161687.5,493070.4999,813924,820200,1573969,1792627,0.8337,0.8338,0.0176,0.8123,0.8261,0.8415,0.8549,0.0211,1792627,813924,0.0443
6,182_T1,NC_059452.1,12,104745598,8728799.8333,6750197,9801687.6252,17078,1500118.25,10657679.75,32735371,0.9203,0.925,0.0204,0.8881,0.9065,0.928,0.9616,0.0222,32735371,17078,0.9421
1,182_T1,NC_059453.1,39,816269,20929.9744,3022,45320.8673,189,1681.5,10126.5,228256,0.4197,0.453,0.2391,0.0071,0.2269,0.6021,0.817,0.5697,228256,189,0.0081
2,182_T1,NC_059453.1,26,99705712,3834835.0769,771490.5,7411360.0061,460,56921.25,4413568.5,35502822,0.905,0.9076,0.024,0.8594,0.8967,0.9172,0.947,0.0265,35502822,460,0.9919
1,182_T1,NC_059454.1,29,1646393,56772.1724,11344,83546.7498,53,882,108266,371317,0.4174,0.4476,0.2355,0.0119,0.2656,0.5732,0.8325,0.5641,371317,53,0.0145
2,182_T1,NC_059454.1,24,112122053,4671752.2083,835951,7008030.7757,429,8499,8492650.25,23220314,0.9168,0.9143,0.0255,0.8572,0.9058,0.9316,0.9585,0.0278,23220314,429,0.9855
1,182_T1,NC_059455.1,5,47412,9482.4,3954,11490.2081,1252,1644,12061,28501,0.0322,0.0345,0.0151,0.0137,0.0197,0.0459,0.0471,0.4695,28501,1252,5e-04
2,182_T1,NC_059455.1,15,758327,50555.1333,12423,85449.0981,210,1378,48043.5,250020,0.4248,0.4085,0.1735,0.1327,0.3155,0.5664,0.6695,0.4084,250020,210,0.0075
