seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,232_T1,NC_059442.1,32,3853351,120417.2188,29095,412751.2088,155,3138.25,74669.75,2357807,0.4976,0.4804,0.1735,0.1625,0.3693,0.6394,0.8438,0.3486,2357807,155,0.0222
2,232_T1,NC_059442.1,23,169719752,7379119.6522,4681416,8310442.5103,373,948898,12824466.5,30661011,0.9165,0.9166,0.0239,0.8667,0.9015,0.9252,0.9726,0.0261,30661011,373,0.9778
1,232_T1,NC_059443.1,25,245573,9822.92,1221,26342.2401,132,490,2195,123945,0.0367,0.0166,0.0349,0,0.0108,0.0652,0.1025,0.9498,123945,132,0.0026
2,232_T1,NC_059443.1,72,2301581,31966.4028,7547,104149.419,166,1475.25,23916,810346,0.4029,0.4188,0.1464,0.1163,0.2912,0.5078,0.6986,0.3633,810346,166,0.0244
3,232_T1,NC_059443.1,24,2715038,113126.5833,40329.5,174676.3259,3485,11625.75,133971.75,679780,0.7862,0.7838,0.0256,0.7355,0.7722,0.8052,0.8251,0.0326,679780,3485,0.0287
4,232_T1,NC_059443.1,66,89239969,1352120.7424,93165.5,2875020.6222,868,28896.25,1023375.75,15667837,0.8944,0.8932,0.0272,0.8397,0.8744,0.9165,0.9595,0.0305,15667837,868,0.9443
1,232_T1,NC_059444.1,40,208275,5206.875,928,16331.9255,182,649,1755.25,90110,0.0775,0.0722,0.0459,0.0057,0.0426,0.1178,0.1539,0.5922,90110,182,0.002
2,232_T1,NC_059444.1,110,1014888,9226.2545,1521,32313.2359,94,785.75,4851,290804,0.4278,0.4338,0.1393,0.1683,0.3103,0.5311,0.7126,0.3257,290804,94,0.0097
3,232_T1,NC_059444.1,126,103213417,819154.1032,25755,2795432.202,510,9006.5,102338,17511098,0.853,0.8586,0.0519,0.7345,0.8111,0.8948,0.949,0.0608,17511098,510,0.9883
1,232_T1,NC_059445.1,13,386595,29738.0769,2632,55308.8747,474,2322,15562,180046,0.0764,0.0808,0.046,0.0107,0.0438,0.0955,0.1645,0.6015,180046,474,0.0043
2,232_T1,NC_059445.1,17,618920,36407.0588,1923,64285.1327,258,941,49615,252768,0.4395,0.4387,0.1165,0.256,0.344,0.511,0.6814,0.265,252768,258,0.0069
3,232_T1,NC_059445.1,29,89031172,3070040.4138,897742,4656496.657,367,90904,4177655,16666266,0.9089,0.9085,0.019,0.8737,0.8954,0.9215,0.9462,0.0209,16666266,367,0.9888
1,232_T1,NC_059446.1,29,1993398,68737.8621,6706,130050.4799,113,2768,57571,558897,0.3739,0.4042,0.2412,0.0056,0.1969,0.5138,0.7955,0.6451,558897,113,0.0217
2,232_T1,NC_059446.1,23,89910986,3909173.3043,1256549,6575529.8406,20402,673568.5,4873471.5,31184930,0.9034,0.9066,0.02,0.8636,0.8891,0.9166,0.9426,0.0221,31184930,20402,0.9783
1,232_T1,NC_059447.1,13,670023,51540.2308,36836,64728.9793,947,2984,54615,229248,0.1806,0.15,0.1521,0,0.0495,0.2709,0.4618,0.8418,229248,947,0.007
2,232_T1,NC_059447.1,14,94734368,6766740.5714,3736017,7988315.3499,54789,2114777,6023052.75,27620602,0.9077,0.9079,0.0208,0.8693,0.8978,0.9189,0.9522,0.023,27620602,54789,0.993
1,232_T1,NC_059448.1,10,388641,38864.1,6716,73552.825,886,1625.25,25266.25,231592,0.1029,0.084,0.0588,0.0281,0.0655,0.1616,0.1824,0.572,231592,886,0.0057
2,232_T1,NC_059448.1,11,611894,55626.7273,34606,60901.6315,214,17828.5,73860,194309,0.4147,0.3842,0.0648,0.3371,0.3608,0.4583,0.524,0.1563,194309,214,0.009
3,232_T1,NC_059448.1,22,67338577,3060844.4091,1193386.5,4069363.699,564,142824.25,5418519.75,15102958,0.9054,0.9067,0.0265,0.8437,0.8961,0.9211,0.9491,0.0293,15102958,564,0.9854
1,232_T1,NC_059449.1,58,701612,12096.7586,2641.5,30982.614,245,1022.5,5359,159265,0.3929,0.3689,0.2173,0.0095,0.2119,0.5842,0.8015,0.553,159265,245,0.0246
2,232_T1,NC_059449.1,23,27772570,1207503.0435,225538,2235026.1616,4301,99516.5,581481.5,7611185,0.9004,0.905,0.0255,0.8479,0.8861,0.9161,0.9534,0.0283,7611185,4301,0.9754
1,232_T1,NC_059450.1,21,844758,40226.5714,9697,53900.1129,66,1307,64016,177022,0.3753,0.4199,0.2319,0.0152,0.2058,0.5302,0.8387,0.6177,177022,66,0.0053
2,232_T1,NC_059450.1,19,160008981,8421525.3158,8410434,6700666.5984,80834,3240703,10154797.5,27815679,0.9178,0.9195,0.0131,0.8921,0.9115,0.9244,0.9494,0.0143,27815679,80834,0.9947
1,232_T1,NC_059451.1,17,2517378,148081.0588,45685,338391.2279,372,23116,158327,1430289,0.4365,0.4413,0.2409,0.0586,0.2339,0.6169,0.8684,0.5519,1430289,372,0.0201
2,232_T1,NC_059451.1,16,122573000,7660812.5,5497541.5,7204698.9,420078,1756003.5,11060828.5,24305791,0.9218,0.9237,0.0126,0.8923,0.9172,0.9285,0.9408,0.0137,24305791,420078,0.9799
1,232_T1,NC_059452.1,23,4551345,197884.5652,16829,430668.1579,56,2923.5,146473.5,1943523,0.5097,0.5749,0.2335,0,0.4363,0.6571,0.8499,0.4582,1943523,56,0.041
2,232_T1,NC_059452.1,20,106384168,5319208.4,2535859,6410602.7537,6696,839148.5,7816169,22295863,0.9129,0.9112,0.0188,0.8705,0.9034,0.926,0.946,0.0205,22295863,6696,0.959
1,232_T1,NC_059453.1,40,834663,20866.575,3635,43557.7177,93,1433,16126,226952,0.3949,0.417,0.2543,0.0134,0.1799,0.6352,0.8119,0.644,226952,93,0.0083
2,232_T1,NC_059453.1,25,100083588,4003343.52,1384494,6653184.1877,1647,179944,4283770,31270447,0.9057,0.9057,0.0197,0.865,0.8941,0.9193,0.946,0.0218,31270447,1647,0.9917
1,232_T1,NC_059454.1,24,731489,30478.7083,3843,42098.7959,143,1027,45620,133138,0.3653,0.3571,0.1992,0.0226,0.261,0.5045,0.7018,0.5453,133138,143,0.0064
2,232_T1,NC_059454.1,23,113212990,4922303.913,877784,7749738.3957,470,8745.5,6770330,24996674,0.9023,0.9056,0.0269,0.844,0.8896,0.9234,0.9368,0.0298,24996674,470,0.9936
1,232_T1,NC_059455.1,8,69830,8728.75,6572,10032.5836,162,2003.5,10551.25,30909,0.0544,0.0365,0.0402,0.015,0.0271,0.0872,0.1227,0.7382,30909,162,7e-04
2,232_T1,NC_059455.1,23,4287749,186423.8696,25173,339715.3408,38,2825.5,200769.5,1325220,0.5564,0.5724,0.2193,0.1811,0.4088,0.7086,0.8802,0.3942,1325220,38,0.0424
3,232_T1,NC_059455.1,16,96798640,6049915,4143508.5,6062437.1709,9320,988500.25,10220320,17461921,0.9182,0.9175,0.0102,0.9027,0.9138,0.9226,0.9417,0.0111,17461921,9320,0.9569
1,232_T1,NC_059456.1,29,1432031,49380.3793,7626,69758.6813,69,432,77503,201278,0.4092,0.4032,0.2164,0.018,0.2464,0.5825,0.8654,0.5289,201278,69,0.013
2,232_T1,NC_059456.1,6,2662,443.6667,488.5,191.9528,68,467.5,527.5,616,0.7808,0.7788,0.0097,0.7707,0.7742,0.7849,0.797,0.0124,616,68,0
3,232_T1,NC_059456.1,18,108411974,6022887.4444,6002734,4461842.3866,491256,2044620.25,9032650.5,17660894,0.9188,0.9211,0.0131,0.8909,0.9116,0.9276,0.9385,0.0143,17660894,491256,0.9869
1,232_T1,NC_059457.1,7,94093,13441.8571,1617,23135.5276,432,979.5,13467.5,63150,0.0693,0.0377,0.063,0,0.0258,0.1171,0.1619,0.909,63150,432,0.001
2,232_T1,NC_059457.1,13,2368749,182211.4615,112554,224111.1309,211,2359,231218,650526,0.5606,0.5332,0.1471,0.3417,0.447,0.6327,0.8172,0.2624,650526,211,0.0249
3,232_T1,NC_059457.1,17,92824379,5460257.5882,1750349,9908871.2917,3696,365202,5102475,37742888,0.9023,0.9067,0.0221,0.8542,0.8901,0.9185,0.9268,0.0245,37742888,3696,0.9742
1,232_T1,NC_059458.1,5,86117,17223.4,1824,34611.1804,1066,1700,2395,79132,0.0226,0.0142,0.0237,0,0.0064,0.0342,0.0583,1.0494,79132,1066,0.001
2,232_T1,NC_059458.1,26,2587609,99523.4231,12897.5,216627.4904,88,2781.5,58924.25,975369,0.5219,0.5069,0.1609,0.2483,0.4299,0.594,0.8564,0.3084,975369,88,0.0299
3,232_T1,NC_059458.1,26,83794139,3222851.5,1296292.5,4898297.0527,6273,251323,3650081.5,20246811,0.9073,0.9076,0.015,0.8772,0.8998,0.9152,0.9451,0.0166,20246811,6273,0.9691
1,232_T1,NC_059459.1,57,820263,14390.5789,3892,24916.3647,103,757,13756,134275,0.4431,0.4655,0.2303,0.0075,0.3058,0.6092,0.7989,0.5198,134275,103,0.0099
2,232_T1,NC_059459.1,36,82273390,2285371.9444,206416.5,4391571.3566,732,11444.75,1847743,16454084,0.8942,0.8996,0.0414,0.8108,0.8793,0.9186,0.9687,0.0463,16454084,732,0.9901
1,232_T1,NC_059460.1,26,637570,24521.9231,4763.5,45862.8757,189,734.75,15466.75,159565,0.5007,0.5595,0.2504,0,0.3525,0.6555,0.8701,0.5002,159565,189,0.0073
2,232_T1,NC_059460.1,19,87102155,4584323.9474,4364628,4858999.931,761,459947,7285965,19199230,0.9222,0.9244,0.0137,0.8991,0.9111,0.9282,0.9492,0.0148,19199230,761,0.9927
1,232_T1,NC_059461.1,16,1045932,65370.75,43360.5,76704.5015,573,5027.75,89253.5,273630,0.4486,0.463,0.1924,0,0.3515,0.6045,0.7017,0.4289,273630,573,0.0109
