seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,14_T1,NC_059442.1,30,19823257,660775.2333,43422,1707021.8667,155,3731.25,158948.5,6959190,0.585,0.5737,0.225,0.1816,0.4527,0.7377,0.973,0.3846,6959190,155,0.1142
2,14_T1,NC_059442.1,13,153793090,11830237.6923,8601938,14344704.1242,6200,2828478,14646359,54689085,0.9146,0.9147,0.0078,0.9003,0.9101,0.9193,0.9269,0.0086,54689085,6200,0.8858
1,14_T1,NC_059443.1,27,246363,9124.5556,1563,24472.3486,132,679.5,2906,123945,0.0547,0.0387,0.0435,0.0051,0.0173,0.0922,0.1489,0.7964,123945,132,0.0026
2,14_T1,NC_059443.1,74,2670575,36088.8514,6402,87661.8487,225,1820.75,26412,448831,0.4248,0.434,0.1163,0.1529,0.3556,0.4977,0.6978,0.2738,448831,225,0.0285
3,14_T1,NC_059443.1,96,90856579,946422.6979,68895.5,2381598.2374,1120,24214.75,420129.75,15664638,0.865,0.8708,0.0558,0.73,0.833,0.906,0.9761,0.0645,15664638,1120,0.9689
1,14_T1,NC_059444.1,38,309569,8146.5526,1058.5,23357.5717,99,725.5,2318,106092,0.0963,0.0956,0.0467,0.0082,0.069,0.1354,0.1658,0.4848,106092,99,0.003
2,14_T1,NC_059444.1,89,995907,11189.9663,1963,32777.9914,139,896,6875,225316,0.399,0.4056,0.132,0.1881,0.2798,0.4971,0.7239,0.3309,225316,139,0.0095
3,14_T1,NC_059444.1,119,103366841,868628.916,27768,2935878.0485,510,9406.5,101394,20368517,0.8586,0.8604,0.049,0.7332,0.8259,0.8936,0.9544,0.0571,20368517,510,0.9875
1,14_T1,NC_059445.1,15,512074,34138.2667,4071,57686.289,362,1577.5,37831.5,180046,0.134,0.131,0.0967,0.0044,0.0664,0.1808,0.3093,0.7218,180046,362,0.0057
2,14_T1,NC_059445.1,16,892338,55771.125,6219.5,89193.6688,441,819,81812.5,281422,0.4999,0.4871,0.0708,0.3993,0.4549,0.5431,0.6426,0.1416,281422,441,0.0099
3,14_T1,NC_059445.1,32,88448644,2764020.125,753373,3863531.3599,365,87162.25,5159016.5,14886519,0.9048,0.9091,0.025,0.8313,0.8911,0.9218,0.9404,0.0276,14886519,365,0.9844
1,14_T1,NC_059446.1,22,1649838,74992.6364,19955,124352.4702,113,783.5,106413,533257,0.2961,0.2922,0.1958,0.0083,0.1526,0.4701,0.6335,0.6613,533257,113,0.0179
2,14_T1,NC_059446.1,22,90279056,4103593.4545,1656530,6683224.7325,129001,741916.75,5371455.75,31107801,0.8999,0.9046,0.021,0.8521,0.8882,0.9184,0.9304,0.0233,31107801,129001,0.9821
1,14_T1,NC_059447.1,12,766407,63867.25,23023.5,135756.4993,1237,5646,40615.25,486879,0.2357,0.247,0.18,0.0238,0.081,0.3017,0.6324,0.7636,486879,1237,0.008
2,14_T1,NC_059447.1,13,94506109,7269700.6923,4019781,8925914.8008,54788,1416706,9141326,30664939,0.9064,0.9074,0.0186,0.8721,0.8946,0.9234,0.9298,0.0205,30664939,54788,0.992
1,14_T1,NC_059448.1,10,282444,28244.4,3698.5,71704.6552,181,1327.5,12197.75,231592,0.1025,0.0907,0.0663,0.0053,0.0517,0.164,0.187,0.6469,231592,181,0.0041
2,14_T1,NC_059448.1,11,729098,66281.6364,45315,96346.1704,421,8587,53801,326189,0.4629,0.4664,0.0761,0.3151,0.4365,0.5027,0.5806,0.1643,326189,421,0.0107
3,14_T1,NC_059448.1,17,36798445,2164614.4118,975959,3706514.038,564,218125,1975508,15102863,0.905,0.9057,0.0295,0.842,0.8824,0.9186,0.9572,0.0326,15102863,564,0.5394
4,14_T1,NC_059448.1,5,30406608,6081321.6,6781806,6800354.236,863,38740,7008959,16576240,0.9101,0.9101,6e-04,0.9095,0.9097,0.9105,0.911,7e-04,16576240,863,0.4457
1,14_T1,NC_059449.1,76,1043029,13724.0658,2240,36033.732,141,908.5,4659.25,169584,0.4521,0.4503,0.2395,0.003,0.2936,0.6609,0.9556,0.5296,169584,141,0.0366
