seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,106_T1,NC_059442.1,31,13647316,440236,24744,1205336.2013,115,2804,135678,5951012,0.583,0.5773,0.1895,0.1986,0.5019,0.68,0.9705,0.3251,5951012,115,0.0785
2,106_T1,NC_059442.1,16,160106238,10006639.875,6695806,14006923.3817,6200,2719503.75,10193161.25,57078708,0.9172,0.9188,0.0077,0.903,0.9122,0.9214,0.9356,0.0084,57078708,6200,0.9215
1,106_T1,NC_059443.1,26,217338,8359.1538,1643,24431.8721,132,692.5,2863,123945,0.0509,0.0441,0.0396,0,0.017,0.0841,0.1167,0.7785,123945,132,0.0023
2,106_T1,NC_059443.1,73,1851390,25361.5068,4893,71256.6202,127,1420,18463,460606,0.3994,0.3923,0.1344,0.1288,0.3305,0.484,0.7048,0.3366,460606,127,0.0196
3,106_T1,NC_059443.1,94,92306898,981988.2766,60701.5,2603540.3428,767,16183.75,307565.75,15703268,0.8668,0.8707,0.0574,0.7242,0.8253,0.9158,0.9759,0.0663,15703268,767,0.9781
1,106_T1,NC_059444.1,28,367444,13123,846.5,32019.9873,182,628.5,1716.75,121960,0.0582,0.0517,0.0362,0,0.0316,0.0825,0.1176,0.6222,121960,182,0.0035
2,106_T1,NC_059444.1,112,1334307,11913.4554,1701.5,44787.1265,141,837.25,5124.5,372227,0.3987,0.4109,0.1547,0.1207,0.272,0.5037,0.7305,0.388,372227,141,0.0127
3,106_T1,NC_059444.1,120,102989099,858242.4917,21067,3291453.0603,510,5758.5,95071.25,24573779,0.8617,0.8644,0.05,0.7431,0.8249,0.9026,0.9455,0.0581,24573779,510,0.9837
1,106_T1,NC_059445.1,14,402206,28729,3251.5,54748.9897,228,2413.5,12701.25,179880,0.1227,0.1287,0.0648,0.0063,0.0858,0.1619,0.2475,0.5287,179880,228,0.0045
2,106_T1,NC_059445.1,18,958871,53270.6111,10222.5,68105.5045,481,1200,87265,214557,0.5006,0.4824,0.1245,0.2635,0.4163,0.5923,0.7944,0.2487,214557,481,0.0107
3,106_T1,NC_059445.1,31,88498571,2854792.6129,1211184,3968106.1389,9266,88316,4995314,14886531,0.911,0.9099,0.0184,0.8787,0.8976,0.9245,0.952,0.0202,14886531,9266,0.9849
1,106_T1,NC_059446.1,26,2026398,77938.3846,23792.5,137333.4469,113,929.75,71932.5,592484,0.3234,0.3456,0.2037,0.0291,0.1526,0.5099,0.6052,0.6298,592484,113,0.0222
2,106_T1,NC_059446.1,26,89375848,3437532.6154,992033,6545330.7497,59573,491396.75,2215800.25,31161005,0.9034,0.9087,0.0262,0.8438,0.8827,0.9206,0.9626,0.0291,31161005,59573,0.9778
1,106_T1,NC_059447.1,15,851195,56746.3333,36688,70307.4479,947,7374,73232,212830,0.2146,0.1571,0.1785,0.0085,0.0724,0.3341,0.5227,0.8316,212830,947,0.0089
2,106_T1,NC_059447.1,16,94330383,5895648.9375,3735979,7060349.7418,54789,1706269.25,5733136.5,27620602,0.9145,0.916,0.0188,0.8816,0.9033,0.9266,0.9555,0.0206,27620602,54789,0.9911
1,106_T1,NC_059448.1,10,292512,29251.2,1683,72117.9873,181,1327.5,7295,231592,0.0835,0.0668,0.0637,0,0.0341,0.1374,0.1848,0.7628,231592,181,0.0043
2,106_T1,NC_059448.1,9,659783,73309.2222,34606,97567.9525,4445,28523,70957,321187,0.4308,0.4528,0.0632,0.3469,0.3572,0.4741,0.5175,0.1467,321187,4445,0.0097
3,106_T1,NC_059448.1,20,67308460,3365423,947734.5,4740102.8225,564,195885,4813281.25,15102967,0.9005,0.9013,0.023,0.8357,0.8957,0.9082,0.9364,0.0256,15102967,564,0.986
1,106_T1,NC_059449.1,65,414289,6373.6769,2364,18627.3492,64,917,4038,140634,0.433,0.4501,0.219,0.0065,0.312,0.6061,0.8233,0.5056,140634,64,0.0145
2,106_T1,NC_059449.1,24,28199900,1174995.8333,181107.5,2455045.3822,575,28822,501989,7611185,0.8991,0.8985,0.0248,0.8472,0.8806,0.9199,0.9344,0.0276,7611185,575,0.9855
1,106_T1,NC_059450.1,4,31836,7959,1423.5,13965.5377,103,1006,8376.5,28886,0.0396,0.037,0.0346,0,0.0277,0.0489,0.0845,0.8736,28886,103,2e-04
2,106_T1,NC_059450.1,13,637260,49020,32235,52548.0842,115,7564,77426,164762,0.4536,0.4431,0.1074,0.2341,0.3924,0.5407,0.6208,0.2368,164762,115,0.004
3,106_T1,NC_059450.1,17,160270901,9427700.0588,8410433,9279509.504,52659,1936687,13926389,30386236,0.9143,0.9174,0.0185,0.8776,0.9092,0.9262,0.9443,0.0202,30386236,52659,0.9958
1,106_T1,NC_059451.1,3,273744,91248,56628,79016.0854,35451,46039.5,119146.5,181665,0.0923,0.1019,0.0249,0.064,0.083,0.1065,0.1111,0.2701,181665,35451,0.0022
2,106_T1,NC_059451.1,15,1323601,88240.0667,57293,100629.2813,181,2618,130487,274488,0.5358,0.4935,0.1328,0.28,0.467,0.6475,0.7411,0.2478,274488,181,0.0106
3,106_T1,NC_059451.1,19,123785724,6515038.1053,4350351,7360807.486,3811,1556237,7270629.5,26566135,0.9196,0.9227,0.0173,0.8852,0.9089,0.9326,0.9449,0.0188,26566135,3811,0.9873
1,106_T1,NC_059452.1,4,265598,66399.5,11515.5,115946.3917,2487,5273.25,72641.75,240080,0.0636,0.0759,0.0465,0,0.0436,0.0959,0.1025,0.7318,240080,2487,0.0024
2,106_T1,NC_059452.1,20,6203266,310163.3,31796,564851.2777,193,6039.75,224360.5,1943542,0.6059,0.6073,0.1493,0.3711,0.4921,0.6857,0.8556,0.2464,1943542,193,0.0564
3,106_T1,NC_059452.1,17,103605045,6094414.4118,2727900,7326466.2322,17078,819074,8221209,26153524,0.9212,0.9222,0.0172,0.8913,0.9095,0.9337,0.9536,0.0186,26153524,17078,0.9412
1,106_T1,NC_059453.1,13,84529,6502.2308,2771,10910.821,93,726,3788,37074,0.0826,0.0634,0.0578,0.014,0.0359,0.1303,0.1878,0.7004,37074,93,8e-04
2,106_T1,NC_059453.1,29,4079672,140678.3448,4270,646235.1475,145,1900,19221,3495401,0.5637,0.5538,0.1952,0.2235,0.4128,0.7375,0.8588,0.3462,3495401,145,0.0405
3,106_T1,NC_059453.1,23,96572277,4198794.6522,1271398,8391330.8816,4118,55806,3982603.5,35840792,0.918,0.9182,0.0197,0.8766,0.9056,0.9353,0.96,0.0215,35840792,4118,0.9587
1,106_T1,NC_059454.1,6,167157,27859.5,994.5,52911.7042,364,897,23427,133035,0.0595,0.0606,0.0268,0.0257,0.0405,0.0738,0.0983,0.4496,133035,364,0.0015
2,106_T1,NC_059454.1,16,1400428,87526.75,36932.5,169502.1687,135,1128.75,83791,691064,0.4479,0.4408,0.1466,0.1527,0.3592,0.5258,0.7327,0.3273,691064,135,0.0123
3,106_T1,NC_059454.1,21,112324802,5348800.0952,1877094,7047467.3851,470,13601,9114113,22847370,0.9072,0.9145,0.0237,0.8479,0.8996,0.9208,0.9417,0.0261,22847370,470,0.9862
1,106_T1,NC_059455.1,7,60425,8632.1429,1864,10784.3492,162,1361.5,13587.5,28501,0.0633,0.0291,0.0617,0,0.0225,0.1042,0.161,0.9748,28501,162,6e-04
2,106_T1,NC_059455.1,16,1396482,87280.125,29585,125539.1054,532,3554.25,105449.25,419811,0.555,0.5407,0.132,0.4076,0.4568,0.6091,0.8303,0.2378,419811,532,0.0137
3,106_T1,NC_059455.1,18,100107038,5561502.1111,2721908.5,6508270.2662,2790,548167.5,7953170,21908643,0.9109,0.9135,0.0228,0.8725,0.8966,0.925,0.9457,0.025,21908643,2790,0.9857
1,106_T1,NC_059456.1,20,1011880,50594,1614.5,94173.2349,79,289.5,46795.25,310207,0.2952,0.2866,0.1255,0.0526,0.203,0.3894,0.5287,0.4252,310207,79,0.0092
2,106_T1,NC_059456.1,9,12361,1373.4444,616,2165.4817,454,496,727,7115,0.7912,0.7961,0.0611,0.6649,0.7666,0.8246,0.8772,0.0773,7115,454,1e-04
3,106_T1,NC_059456.1,14,109059006,7789929,8031496.5,4229355.8749,1922222,5714890.5,9902291.75,15058631,0.9172,0.9224,0.0131,0.8918,0.9075,0.9247,0.9398,0.0143,15058631,1922222,0.9907
1,106_T1,NC_059457.1,4,66558,16639.5,1298,31008.9403,812,937.25,17000.25,63150,0.0277,0.0292,0.0056,0.0199,0.0258,0.0311,0.0326,0.2007,63150,812,7e-04
2,106_T1,NC_059457.1,3,27368,9122.6667,5695,10819.6716,432,3063.5,13468,21241,0.1444,0.1582,0.0422,0.0971,0.1276,0.1681,0.1779,0.292,21241,432,3e-04
3,106_T1,NC_059457.1,9,1076458,119606.4444,2704,232506.6924,169,1379,42844,649855,0.5389,0.5638,0.0972,0.3923,0.4705,0.6092,0.6588,0.1804,649855,169,0.0113
4,106_T1,NC_059457.1,2,1224408,612204,612204,55835.9799,572722,592463,631945,651686,0.849,0.849,0.0142,0.8389,0.8439,0.854,0.859,0.0167,651686,572722,0.0129
5,106_T1,NC_059457.1,3,7823778,2607926,2717695,2551117.2853,3696,1360695.5,3910041,5102387,0.8928,0.8928,2e-04,0.8926,0.8927,0.8929,0.893,2e-04,5102387,3696,0.0821
6,106_T1,NC_059457.1,2,9905579,4952789.5,4952789.5,6159525.8536,597347,2775068.25,7130510.75,9308232,0.9079,0.9079,0.0029,0.9059,0.9069,0.9089,0.9099,0.0032,9308232,597347,0.104
7,106_T1,NC_059457.1,8,75148729,9393591.125,2992421.5,17080484.572,6993,281559.75,7223883.5,50213076,0.9248,0.9242,0.0056,0.9184,0.9204,0.9283,0.9339,0.006,50213076,6993,0.7888
1,106_T1,NC_059458.1,23,1597805,69469.7826,4843,149438.1458,47,2582,34820.5,513553,0.3778,0.3832,0.1947,0.0091,0.313,0.4921,0.7867,0.5152,513553,47,0.0184
