seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,266_T1,NC_059442.1,35,13785614,393874.6857,27884,1149469.958,115,3052,172106.5,5966027,0.5562,0.5378,0.1978,0.1835,0.3945,0.7196,0.881,0.3556,5966027,115,0.0793
2,266_T1,NC_059442.1,18,159961074,8886726.3333,5807857.5,11708046.0872,6200,2761429.5,8745907,49374058,0.9134,0.9124,0.0092,0.8986,0.9083,0.9191,0.9302,0.0101,49374058,6200,0.9207
1,266_T1,NC_059443.1,18,93004,5166.8889,1435.5,9766.2379,119,692.5,2981.75,31775,0.0335,0.0308,0.0219,0.0055,0.0162,0.0548,0.0715,0.6543,31775,119,0.001
2,266_T1,NC_059443.1,93,3513771,37782.4839,7368,105509.159,130,2416,22855,741314,0.426,0.4122,0.1806,0.0872,0.3048,0.5357,0.7756,0.4239,741314,130,0.0371
3,266_T1,NC_059443.1,86,91048943,1058708.6395,80308.5,2504336.5675,868,21691.5,540777,15519742,0.8765,0.8817,0.0381,0.7874,0.846,0.9065,0.9489,0.0435,15519742,868,0.9619
1,266_T1,NC_059444.1,32,216598,6768.6875,924,18768.5999,144,655.5,1490.25,90110,0.0826,0.073,0.0531,0.0056,0.0393,0.1394,0.167,0.6426,90110,144,0.0021
2,266_T1,NC_059444.1,104,1167141,11222.5096,1473.5,32317.9502,71,802.75,6372.5,206503,0.4139,0.4161,0.1295,0.1701,0.3196,0.5058,0.7038,0.3129,206503,71,0.0111
3,266_T1,NC_059444.1,36,676182,18782.8333,10002.5,24219.7016,2087,5312.75,22413.75,122199,0.7753,0.7743,0.0247,0.7356,0.7546,0.7967,0.8119,0.0318,122199,2087,0.0065
4,266_T1,NC_059444.1,88,102722078,1167296.3409,33334.5,3912134.1699,509,13735.75,136825.5,25817007,0.8771,0.8709,0.0313,0.8139,0.8546,0.8986,0.9581,0.0357,25817007,509,0.9803
1,266_T1,NC_059445.1,10,224198,22419.8,3171.5,55518.7439,474,2413.5,9029.5,179880,0.0611,0.0587,0.0296,0.0133,0.0451,0.0716,0.119,0.4842,179880,474,0.0025
2,266_T1,NC_059445.1,21,588725,28034.5238,1884,44014.4482,350,860,56856,152843,0.4395,0.4489,0.142,0.161,0.3667,0.5286,0.7232,0.3232,152843,350,0.0066
3,266_T1,NC_059445.1,30,88863460,2962115.3333,871005.5,4571885.4364,392,86052.25,4751364,15513656,0.9002,0.9004,0.0208,0.8483,0.8872,0.9167,0.9383,0.0231,15513656,392,0.9909
1,266_T1,NC_059446.1,24,1051223,43800.9583,6494.5,80566.7767,161,652,37400,322684,0.3187,0.3458,0.1688,0.0179,0.2014,0.4771,0.5383,0.5297,322684,161,0.0114
2,266_T1,NC_059446.1,24,90815431,3783976.2917,1196612,7363385.6274,163464,435143.25,4096252.5,35756798,0.9031,0.9025,0.0183,0.8684,0.8892,0.9132,0.9389,0.0203,35756798,163464,0.9886
1,266_T1,NC_059447.1,15,736180,49078.6667,35397,63289.7464,233,4460.5,52219,229248,0.3013,0.2284,0.258,0,0.0727,0.5232,0.7373,0.8564,229248,233,0.0077
2,266_T1,NC_059447.1,16,94801756,5925109.75,3736113.5,8347937.9788,54789,708365,5830238.25,30664939,0.8973,0.8996,0.0198,0.8583,0.8818,0.9147,0.923,0.022,30664939,54789,0.9923
1,266_T1,NC_059448.1,18,959839,53324.3889,22037.5,86919.1599,482,1722,51595.5,321187,0.236,0.2132,0.1725,0.019,0.0761,0.3704,0.5571,0.7309,321187,482,0.014
2,266_T1,NC_059448.1,19,67611344,3558491.7895,938008,5586274.1179,564,113493.5,3499757.5,18107597,0.8977,0.8997,0.0302,0.8104,0.8892,0.9104,0.9476,0.0337,18107597,564,0.986
1,266_T1,NC_059449.1,72,8418803,116927.8194,2209,869570.2106,55,871.25,5307.25,7385002,0.4283,0.4058,0.232,0.009,0.2621,0.6115,0.8651,0.5417,7385002,55,0.2969
2,266_T1,NC_059449.1,17,19940160,1172950.5882,246641,2417529.415,4521,95239,521758,7624919,0.9111,0.9094,0.017,0.8789,0.8978,0.9188,0.945,0.0187,7624919,4521,0.7031
1,266_T1,NC_059450.1,19,1186046,62423.4737,31027,69912.8811,103,4653.5,99182.5,239554,0.3566,0.396,0.23,0.0041,0.1598,0.5053,0.8361,0.645,239554,103,0.0074
2,266_T1,NC_059450.1,17,159461254,9380073.7647,7945072,7874475.559,80834,4138473,11558774,27815679,0.9131,0.9117,0.0166,0.886,0.9013,0.9212,0.9523,0.0181,27815679,80834,0.9926
1,266_T1,NC_059451.1,19,1637040,86160,58229,93285.1105,316,14110.5,130246.5,368758,0.441,0.4412,0.1964,0.0096,0.3306,0.5926,0.7385,0.4454,368758,316,0.0131
2,266_T1,NC_059451.1,20,123501118,6175055.9,2970330,8881082.18,2379,709323.5,5560190.75,30665634,0.9132,0.9185,0.0194,0.8702,0.9062,0.9272,0.94,0.0212,30665634,2379,0.9869
1,266_T1,NC_059452.1,4,265549,66387.25,11515.5,115955.3972,2438,5261,72641.75,240080,0.0824,0.0596,0.0929,0,0.0232,0.1188,0.2105,1.1271,240080,2438,0.0024
2,266_T1,NC_059452.1,12,628782,52398.5,16809.5,90290.7961,205,4060.5,68575.5,320996,0.5603,0.5531,0.0777,0.4551,0.4985,0.6144,0.6747,0.1387,320996,205,0.0057
3,266_T1,NC_059452.1,6,7604758,1267459.6667,1313344,846610.8163,7799,812769.25,1790651.5,2374606,0.8295,0.8365,0.0157,0.8025,0.8228,0.839,0.8435,0.019,2374606,7799,0.0689
4,266_T1,NC_059452.1,11,101866423,9260583.9091,3470889,10034391.6667,843649,2190806,13316532.5,28787774,0.9041,0.9076,0.0158,0.878,0.8904,0.9153,0.9262,0.0175,28787774,843649,0.923
1,266_T1,NC_059453.1,33,905914,27451.9394,3447,65090.2245,93,1448,19220,319192,0.3607,0.3946,0.2565,0,0.1272,0.5733,0.8363,0.7111,319192,93,0.009
2,266_T1,NC_059453.1,24,99927168,4163632,1253932.5,8000502.2864,3900,154816.75,4878162.5,35701026,0.9007,0.902,0.0207,0.8537,0.8909,0.9143,0.9328,0.023,35701026,3900,0.991
1,266_T1,NC_059454.1,24,997076,41544.8333,15174,53035.8666,364,1139,73975.25,185283,0.3583,0.3645,0.1999,0.0279,0.2425,0.508,0.6635,0.558,185283,364,0.0088
2,266_T1,NC_059454.1,21,112865435,5374544.5238,768924,8537528.2348,532,8802,9114114,31956192,0.9023,0.9097,0.0257,0.8584,0.8805,0.9224,0.938,0.0285,31956192,532,0.9912
1,266_T1,NC_059455.1,5,44230,8846,2254,11970.6976,162,1252,12061,28501,0.021,0.0221,0.0127,0.0074,0.01,0.0276,0.038,0.6037,28501,162,4e-04
2,266_T1,NC_059455.1,28,3633604,129771.5714,25103,217257.2113,246,8547.25,184390,992457,0.5071,0.4795,0.2103,0.1055,0.3843,0.6679,0.8624,0.4148,992457,246,0.036
3,266_T1,NC_059455.1,20,97335205,4866760.25,3586935,4832970.7538,9320,979283.75,7247048.75,15780790,0.9105,0.9103,0.0168,0.8739,0.8988,0.9207,0.9397,0.0184,15780790,9320,0.9636
1,266_T1,NC_059456.1,29,1140917,39341.9655,1564,81994.9908,145,442,41496,358536,0.4331,0.4708,0.2424,0.0204,0.232,0.6021,0.7994,0.5597,358536,145,0.0104
2,266_T1,NC_059456.1,18,108766204,6042566.8889,5824457.5,4425509.6152,801364,2046307.75,8704620.5,17788539,0.9117,0.9102,0.0142,0.8909,0.9003,0.9228,0.9425,0.0156,17788539,801364,0.9896
1,266_T1,NC_059457.1,6,32855,5475.8333,2187,7942.2208,398,1264.5,4960.5,21241,0.047,0.0337,0.0498,0,0.0066,0.0825,0.1184,1.0599,21241,398,3e-04
2,266_T1,NC_059457.1,5,754842,150968.4,2642,205104.3654,169,812,370326,380893,0.4051,0.4439,0.0681,0.2948,0.3829,0.4516,0.4524,0.1681,380893,169,0.0079
3,266_T1,NC_059457.1,6,866274,144379,41751.5,257833.1222,1332,2743.75,108159,661403,0.659,0.6602,0.0274,0.6191,0.6428,0.6794,0.6915,0.0416,661403,1332,0.0091
4,266_T1,NC_059457.1,2,138416,69208,69208,96083.0836,1267,35237.5,103178.5,137149,0.5624,0.5624,6e-04,0.5619,0.5622,0.5626,0.5628,0.0011,137149,1267,0.0015
5,266_T1,NC_059457.1,7,9077456,1296779.4286,572583,1849508.2997,3696,220011,1479340,5102475,0.861,0.8647,0.0175,0.8322,0.8514,0.8716,0.8839,0.0204,5102475,3696,0.0953
6,266_T1,NC_059457.1,6,35681438,5946906.3333,5646742.5,5764477.6344,30632,928542,10132203.75,13374155,0.903,0.9025,0.0063,0.8945,0.8998,0.9058,0.9129,0.007,13374155,30632,0.3746
7,266_T1,NC_059457.1,5,48700818,9740163.6,1750804,16918401.3189,330760,365098,6600559,39653597,0.9243,0.9239,0.001,0.9232,0.9236,0.9251,0.9256,0.0011,39653597,330760,0.5113
1,266_T1,NC_059458.1,7,92865,13266.4286,2549,29053.1627,1066,1949,3110,79132,0.0813,0.0559,0.0798,0,0.029,0.124,0.2069,0.9822,79132,1066,0.0011
2,266_T1,NC_059458.1,15,1479774,98651.6,29435,150028.7824,2975,4168,138582,513553,0.447,0.4244,0.0855,0.3327,0.3934,0.5232,0.5843,0.1913,513553,2975,0.0171
3,266_T1,NC_059458.1,3,6273769,2091256.3333,1276084,1679092.3009,975369,1125726.5,2649200,4022316,0.8448,0.8457,0.0079,0.8365,0.8411,0.8489,0.8522,0.0093,4022316,975369,0.0723
4,266_T1,NC_059458.1,20,78905865,3945293.25,2133069.5,5937839.2056,7333,457861.25,3756068.75,20258053,0.9058,0.9046,0.0136,0.875,0.9001,0.9137,0.9358,0.015,20258053,7333,0.9096
1,266_T1,NC_059459.1,53,1356069,25586.2075,4863,55923.1291,208,1251,22388,360366,0.4515,0.4747,0.2212,0.0022,0.3512,0.6201,0.8009,0.4899,360366,208,0.0164
2,266_T1,NC_059459.1,30,81466231,2715541.0333,438182,3849006.5224,262,24803.75,5220390.25,11783051,0.8887,0.8957,0.0379,0.8182,0.861,0.9144,0.9549,0.0426,11783051,262,0.9836
1,266_T1,NC_059460.1,20,525903,26295.15,5274,45764.959,189,753.5,15925.75,159565,0.4668,0.4977,0.2756,0.0032,0.1918,0.6457,0.8806,0.5905,159565,189,0.006
2,266_T1,NC_059460.1,13,87367130,6720548.4615,6076065,8000780.2708,374,1340285,6859798,27817620,0.9215,0.9224,0.0096,0.9033,0.9156,0.9287,0.9346,0.0104,27817620,374,0.994
1,266_T1,NC_059461.1,3,46598,15532.6667,4254,22958.4401,395,2324.5,23101.5,41949,0.087,0.0875,0.0034,0.0833,0.0854,0.0888,0.0901,0.0392,41949,395,5e-04
2,266_T1,NC_059461.1,3,42102,14034,2094,21055.0464,1663,1878.5,20219.5,38345,0.3423,0.3384,0.0819,0.2625,0.3004,0.3822,0.4261,0.2392,38345,1663,4e-04
3,266_T1,NC_059461.1,2,504681,252340.5,252340.5,236718.8442,84955,168647.75,336033.25,419726,0.6208,0.6208,0.004,0.618,0.6194,0.6222,0.6236,0.0064,419726,84955,0.0052
4,266_T1,NC_059461.1,2,30195890,15097945,15097945,11912519.0482,6674522,10886233.5,19309656.5,23521368,0.909,0.909,2e-04,0.9088,0.9089,0.909,0.9091,3e-04,23521368,6674522,0.3134
5,266_T1,NC_059461.1,7,65549143,9364163.2857,9845704,8919036.1319,4530,897140.5,15999778.5,21905071,0.9184,0.9209,0.0337,0.8659,0.9071,0.9245,0.9786,0.0367,21905071,4530,0.6804
1,266_T1,NC_059462.1,10,618218,61821.8,20799,81827.3021,1556,4016,102371.25,253306,0.3058,0.2783,0.2195,0.0224,0.1178,0.471,0.6388,0.7177,253306,1556,0.0104
2,266_T1,NC_059462.1,11,58822205,5347473.1818,2328223,5959603.4458,38822,1642651,8161026.5,16815209,0.9077,0.908,0.0209,0.8571,0.9005,0.9201,0.9379,0.023,16815209,38822,0.9896
1,266_T1,NC_059463.1,23,515173,22398.8261,385,46855.3368,125,201,6316,160929,0.3951,0.3766,0.2092,0.0034,0.2215,0.5571,0.7072,0.5296,160929,125,0.0081
2,266_T1,NC_059463.1,24,63118015,2629917.2917,134564.5,3637277.8814,141,1979.5,4304359,11794622,0.8889,0.8983,0.04,0.8023,0.8697,0.9173,0.9489,0.045,11794622,141,0.9919
1,266_T1,NC_059464.1,27,1806407,66903.963,2536,148254.375,214,633,55791,697869,0.5953,0.6294,0.1905,0.0038,0.5463,0.6799,0.8636,0.3201,697869,214,0.0345
2,266_T1,NC_059464.1,16,50541742,3158858.875,2054792,3894923.9685,15700,313579.25,3677953.75,13210791,0.9101,0.9128,0.0151,0.8798,0.9029,0.9194,0.9384,0.0165,13210791,15700,0.9655
1,266_T1,NC_059465.1,11,1515324,137756.7273,14354,223094.9773,355,3296,162927,596308,0.4434,0.4039,0.2286,0.0988,0.2774,0.6057,0.8483,0.5156,596308,355,0.031
2,266_T1,NC_059465.1,10,47329110,4732911,2816434,4774086.2887,2329,468129,9768129.5,11049280,0.9153,0.92,0.0149,0.8829,0.9112,0.9257,0.9288,0.0163,11049280,2329,0.969
1,266_T1,NC_059466.1,12,816586,68048.8333,11162.5,121448.1446,291,1521,67742.75,420358,0.4614,0.4643,0.1864,0.1001,0.3586,0.568,0.7528,0.4041,420358,291,0.0151
2,266_T1,NC_059466.1,13,53232064,4094774.1538,12435,10031351.5795,293,2828,2262755,36688187,0.9031,0.9207,0.044,0.8244,0.8909,0.9299,0.9721,0.0488,36688187,293,0.9849
1,266_T1,NC_059467.1,6,6354,1059,882,754.3087,173,631.75,1406,2288,0.0197,0.0228,0.0116,0,0.0152,0.0264,0.0323,0.5863,2288,173,1e-04
2,266_T1,NC_059467.1,17,1122612,66036,6234,107146.4825,119,1647,43623,314290,0.3871,0.361,0.1443,0.1233,0.2989,0.475,0.6912,0.3727,314290,119,0.0203
3,266_T1,NC_059467.1,24,54182827,2257617.7917,1290544.5,2389511.8356,1628,77628,3647340.25,7050252,0.8957,0.9046,0.0305,0.8253,0.8785,0.921,0.9386,0.0341,7050252,1628,0.9796
1,266_T1,NC_059468.1,13,679717,52285.9231,1572,131335.6128,183,597,14297,463713,0.4547,0.486,0.2097,0.1357,0.2556,0.6374,0.692,0.4613,463713,183,0.0151
2,266_T1,NC_059468.1,14,44389997,3170714.0714,314779.5,5268704.8453,2167,9647.5,4823505,14893741,0.8968,0.9045,0.0307,0.8517,0.8778,0.9132,0.9626,0.0342,14893741,2167,0.9849
1,266_T1,NC_059469.1,1,253067,253067,253067,,253067,253067,253067,253067,0.3779,0.3779,,0.3779,0.3779,0.3779,0.3779,,253067,253067,0.0061
2,266_T1,NC_059469.1,1,2222,2222,2222,,2222,2222,2222,2222,0.5194,0.5194,,0.5194,0.5194,0.5194,0.5194,,2222,2222,1e-04
3,266_T1,NC_059469.1,1,6411,6411,6411,,6411,6411,6411,6411,0.7316,0.7316,,0.7316,0.7316,0.7316,0.7316,,6411,6411,2e-04
4,266_T1,NC_059469.1,1,278528,278528,278528,,278528,278528,278528,278528,0.891,0.891,,0.891,0.891,0.891,0.891,,278528,278528,0.0067
5,266_T1,NC_059469.1,1,13156949,13156949,13156949,,13156949,13156949,13156949,13156949,0.9155,0.9155,,0.9155,0.9155,0.9155,0.9155,,13156949,13156949,0.3179
6,266_T1,NC_059469.1,2,27691784,13845892,13845892,8051847.5448,8152376,10999134,16692650,19539408,0.9171,0.9171,1e-04,0.917,0.9171,0.9171,0.9171,1e-04,19539408,8152376,0.6691
1,266_T1,NC_059470.1,5,681949,136389.8,5375,276004.8686,157,254,47308,628855,0.2292,0.2261,0.1614,0.0044,0.1664,0.3134,0.4356,0.7042,628855,157,0.016
2,266_T1,NC_059470.1,5,42022949,8404589.8,762340,15922292.0672,13846,26156,4530628,36689979,0.8865,0.8711,0.03,0.8546,0.8709,0.9094,0.9263,0.0339,36689979,13846,0.984
