seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,260_T1,NC_059442.1,25,1896306,75852.24,20895,100313.9726,155,5191,109185,394258,0.4731,0.4595,0.1613,0.1658,0.362,0.5728,0.7456,0.3409,394258,155,0.0109
2,260_T1,NC_059442.1,20,171714321,8585716.05,5740194,10924925.4809,6200,2826638,9209785.5,44746173,0.9108,0.9135,0.0258,0.8615,0.906,0.9206,0.9833,0.0283,44746173,6200,0.9891
1,260_T1,NC_059443.1,20,88581,4429.05,1833,7198.8977,132,621.5,4224.75,30651,0.0291,0.0193,0.0229,0.0065,0.0101,0.0475,0.0748,0.7864,30651,132,9e-04
2,260_T1,NC_059443.1,90,3572299,39692.2111,7535.5,92642.4907,145,1316.25,29409.25,488447,0.4338,0.4264,0.1767,0.0863,0.3086,0.5288,0.7766,0.4075,488447,145,0.0378
3,260_T1,NC_059443.1,83,90753785,1093419.0964,102395,2518786.1594,868,21429.5,604005,15700228,0.8837,0.8879,0.0396,0.7808,0.8579,0.9132,0.9567,0.0448,15700228,868,0.9612
1,260_T1,NC_059444.1,33,167659,5080.5758,880,16180.6905,182,651,1864,90110,0.0778,0.0735,0.0399,0.0026,0.0487,0.1163,0.1443,0.5126,90110,182,0.0016
2,260_T1,NC_059444.1,107,1571911,14690.757,1611,48203.6409,94,761.5,6112,353071,0.4175,0.4201,0.1499,0.1498,0.3069,0.5067,0.7363,0.359,353071,94,0.015
3,260_T1,NC_059444.1,116,103044863,888317.7845,24097,2898204.6049,510,6710,104163.25,17519859,0.8612,0.8651,0.0459,0.7563,0.823,0.9029,0.9476,0.0533,17519859,510,0.9834
1,260_T1,NC_059445.1,24,570966,23790.25,1870,45295.3246,351,904.25,17447.5,179880,0.2337,0.231,0.1898,0,0.0634,0.3639,0.5862,0.8124,179880,351,0.0063
2,260_T1,NC_059445.1,25,89727822,3589112.88,577140,5920910.3998,323,84395,4885343,21257848,0.8994,0.907,0.0256,0.8236,0.8892,0.9186,0.9294,0.0285,21257848,323,0.9937
1,260_T1,NC_059446.1,22,1018571,46298.6818,10302.5,70129.5235,113,1232,75824.25,263661,0.3334,0.3544,0.1951,0.0197,0.1981,0.4389,0.6768,0.5852,263661,113,0.0111
