seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,762_T2,NC_059442.1,25,1916466,76658.64,27531,102453.0591,134,4497,122192,344479,0.4827,0.5067,0.1411,0.1502,0.3972,0.5678,0.728,0.2923,344479,134,0.011
2,762_T2,NC_059442.1,9,20485166,2276129.5556,2816004,2217217.3359,343,224582,3577276,5965991,0.8905,0.8838,0.0417,0.8396,0.8519,0.9167,0.9619,0.0469,5965991,343,0.1178
3,762_T2,NC_059442.1,11,151567950,13778904.5455,7332434,17156790.37,1721369,3985438.5,13205065.5,58993149,0.904,0.9045,0.0045,0.8955,0.902,0.907,0.9099,0.0049,58993149,1721369,0.8712
1,762_T2,NC_059443.1,22,80064,3639.2727,1438,7022.9709,132,513.5,2467.75,31041,0.0439,0.0465,0.0275,0,0.0193,0.0663,0.0839,0.6264,31041,132,8e-04
2,762_T2,NC_059443.1,86,2663508,30971.0233,5676.5,77826.0708,113,1326,23350.25,476053,0.3877,0.4043,0.139,0.108,0.2806,0.4808,0.69,0.3584,476053,113,0.0283
3,762_T2,NC_059443.1,101,91535805,906295.099,78693,2361076.5567,944,14610,414423,15516702,0.8457,0.8531,0.0567,0.7108,0.8079,0.8882,0.9658,0.067,15516702,944,0.9709
1,762_T2,NC_059444.1,42,474359,11294.2619,1276,27126.8472,182,804.75,4523,106093,0.1085,0.1096,0.0518,0.0079,0.0727,0.1536,0.1874,0.4776,106093,182,0.0045
2,762_T2,NC_059444.1,100,1029330,10293.3,1905,37286.5158,71,955,4690.25,277655,0.4179,0.4258,0.1187,0.2107,0.3233,0.5128,0.6839,0.284,277655,71,0.0098
3,762_T2,NC_059444.1,134,103084263,769285.5448,21767,2683656.6042,329,8379.5,99599,20368753,0.8253,0.826,0.0587,0.6876,0.7831,0.8733,0.9711,0.0711,20368753,329,0.9856
1,762_T2,NC_059445.1,14,386294,27592.4286,2577,53742.9847,269,1399.25,12842.25,180046,0.1042,0.0952,0.0552,0.0233,0.0632,0.1557,0.1894,0.5296,180046,269,0.0043
2,762_T2,NC_059445.1,21,627021,29858.1429,3088,45442.3051,292,980,56857,165197,0.4935,0.475,0.1359,0.3024,0.4177,0.5521,0.7899,0.2754,165197,292,0.007
3,762_T2,NC_059445.1,32,88770930,2774091.5625,778381,4601499.8815,6914,59939,4958907.75,19927998,0.8918,0.8918,0.0244,0.8367,0.8775,0.9083,0.9318,0.0274,19927998,6914,0.9887
1,762_T2,NC_059446.1,24,1631061,67960.875,6496.5,137648.394,113,702.5,59116.25,592484,0.3111,0.3262,0.1934,0.0149,0.1623,0.4924,0.6062,0.6216,592484,113,0.0178
2,762_T2,NC_059446.1,24,90116782,3754865.9167,1619591.5,6840924.981,28708,589907.25,2741393,31161005,0.8851,0.8886,0.0235,0.8361,0.8656,0.9002,0.9406,0.0265,31161005,28708,0.9822
1,762_T2,NC_059447.1,12,655936,54661.3333,38794.5,51242.1621,1039,9446.25,77773.75,146628,0.1589,0.181,0.1215,0.0076,0.0428,0.2435,0.369,0.7643,146628,1039,0.0069
2,762_T2,NC_059447.1,9,662261,73584.5556,57034,115049.2078,211,8943,63557,367415,0.5769,0.5802,0.0424,0.5032,0.5527,0.6102,0.6385,0.0734,367415,211,0.007
3,762_T2,NC_059447.1,22,93814890,4264313.1818,3038399,6190354.4596,10203,318923.25,5371242.75,27620663,0.9015,0.9022,0.0328,0.8398,0.8853,0.919,0.9722,0.0363,27620663,10203,0.9861
1,762_T2,NC_059448.1,8,337871,42233.875,6716,78881.3326,1298,1734,39237.25,231592,0.071,0.0761,0.0297,0.0187,0.0627,0.0834,0.1162,0.418,231592,1298,0.005
2,762_T2,NC_059448.1,11,348472,31679.2727,29142,31234.237,214,7471.5,45250.5,104042,0.3489,0.3604,0.0986,0.183,0.28,0.4363,0.4472,0.2825,104042,214,0.0051
3,762_T2,NC_059448.1,20,67520300,3376015,1437455,5060998.2439,564,194908.25,4477415.25,17965938,0.8884,0.8853,0.0289,0.8422,0.8753,0.906,0.9422,0.0325,17965938,564,0.9899
1,762_T2,NC_059449.1,64,479053,7485.2031,2133.5,20033.9518,245,926.25,4930,140649,0.4018,0.4097,0.2162,0.0069,0.2708,0.5782,0.8087,0.538,140649,245,0.0169
2,762_T2,NC_059449.1,21,27879538,1327597.0476,222287,2595912.8962,4696,103778,521758,7625018,0.8855,0.8898,0.0225,0.8495,0.8638,0.8976,0.9339,0.0254,7625018,4696,0.9831
1,762_T2,NC_059450.1,23,986606,42895.913,21353,67272.5341,103,1062,63400,303943,0.3921,0.4397,0.2141,0,0.2521,0.556,0.7251,0.5459,303943,103,0.0062
2,762_T2,NC_059450.1,21,159284917,7584996.0476,6056210,8032199.8372,48067,1245857,12187582,30385899,0.9003,0.9053,0.0183,0.8601,0.8902,0.9122,0.9428,0.0204,30385899,48067,0.9938
1,762_T2,NC_059451.1,3,125973,41991,56628,36620.3553,316,28472,62828.5,69029,0.0737,0.0779,0.0426,0.0291,0.0535,0.096,0.114,0.5783,69029,316,0.001
2,762_T2,NC_059451.1,18,1177006,65389.2222,30740,70352.5054,52,11417.5,140444.5,179536,0.5288,0.5075,0.104,0.3947,0.4381,0.6342,0.6881,0.1967,179536,52,0.0094
3,762_T2,NC_059451.1,22,123705449,5622974.9545,3920855,5155778.6113,415472,1682501.75,7658014.5,17716159,0.9063,0.9095,0.0176,0.8671,0.8965,0.9177,0.937,0.0194,17716159,415472,0.9896
1,762_T2,NC_059452.1,4,265598,66399.5,11515.5,115946.3917,2487,5273.25,72641.75,240080,0.0815,0.0707,0.0772,0,0.0423,0.1098,0.1844,0.9477,240080,2487,0.0024
2,762_T2,NC_059452.1,14,601521,42965.7857,3852.5,87440.3345,74,1121.5,26482.25,320996,0.5434,0.5515,0.083,0.4122,0.4914,0.6014,0.6833,0.1528,320996,74,0.0054
3,762_T2,NC_059452.1,19,109652895,5771205,1935957,8040887.3617,17078,971525.5,6801141.5,27984752,0.8774,0.8823,0.0351,0.7887,0.8602,0.9054,0.915,0.04,27984752,17078,0.9922
1,762_T2,NC_059453.1,32,708602,22143.8125,3231,44955.9656,127,1715,18184,205307,0.3943,0.4241,0.2488,0,0.1707,0.5598,0.7899,0.6309,205307,127,0.007
2,762_T2,NC_059453.1,23,100248152,4358615.3043,1278980,8171184.4997,125,125283.5,4490435.5,35841020,0.8826,0.8861,0.0239,0.8406,0.8677,0.8978,0.9255,0.0271,35841020,125,0.993
1,762_T2,NC_059454.1,25,886037,35441.48,1739,52969.7382,109,911,49953,185300,0.3717,0.4079,0.2143,0.0092,0.1908,0.5023,0.7926,0.5766,185300,109,0.0078
2,762_T2,NC_059454.1,22,112993542,5136070.0909,75453.5,8499595.8706,533,6813,7958883.75,31638632,0.8819,0.8837,0.029,0.8282,0.8645,0.9064,0.9248,0.0329,31638632,533,0.9922
1,762_T2,NC_059455.1,29,2324733,80163.2069,20286,123045.1348,162,1885,98518,433352,0.3997,0.4065,0.2581,0.0031,0.184,0.5833,0.8379,0.6459,433352,162,0.023
2,762_T2,NC_059455.1,18,98949011,5497167.2778,3911661,5625511.7603,9320,1104927.25,8486285.25,17464745,0.901,0.9015,0.0163,0.8702,0.8902,0.9149,0.9242,0.0181,17464745,9320,0.977
1,762_T2,NC_059456.1,13,348254,26788.7692,727,58842.5396,166,299,7265,206266,0.1857,0.1857,0.0862,0.0364,0.1177,0.261,0.2836,0.464,206266,166,0.0032
2,762_T2,NC_059456.1,16,868415,54275.9375,4045,80054.0299,291,663.25,87390.25,217673,0.6213,0.5998,0.1119,0.4111,0.5423,0.7256,0.7654,0.1801,217673,291,0.0079
3,762_T2,NC_059456.1,18,108530019,6029445.5,6596980,4402984.4941,158,1993946.25,9442293.75,14319264,0.907,0.9059,0.0152,0.88,0.8965,0.916,0.933,0.0167,14319264,158,0.9889
1,762_T2,NC_059457.1,7,33534,4790.5714,1617,7472.0389,432,896,4226,21241,0.0473,0.0367,0.0438,0.0083,0.0181,0.0595,0.131,0.9256,21241,432,4e-04
2,762_T2,NC_059457.1,24,2664624,111026,1372,204616.7152,115,685.5,75477.75,612025,0.6005,0.5964,0.149,0.2475,0.5043,0.6892,0.8365,0.248,612025,115,0.0281
3,762_T2,NC_059457.1,20,92135822,4606791.1,2232694,8922564.5744,473,29453,5438751.25,40255835,0.8975,0.9017,0.015,0.8657,0.8903,0.9087,0.9174,0.0167,40255835,473,0.9715
1,762_T2,NC_059458.1,5,86571,17314.2,1824,34563.8747,1066,1615,2934,79132,0.0217,0.0201,0.0187,0,0.0074,0.0383,0.0429,0.8614,79132,1066,0.001
2,762_T2,NC_059458.1,26,1675654,64448.2308,12546,122129.713,47,2122.75,47224.75,513553,0.4448,0.4556,0.1027,0.1862,0.3864,0.5102,0.6102,0.231,513553,47,0.0195
3,762_T2,NC_059458.1,4,34863,8715.75,4668,10782.9791,863,3614.75,9769,24664,0.7511,0.7555,0.0328,0.7096,0.7336,0.773,0.784,0.0436,24664,863,4e-04
4,762_T2,NC_059458.1,30,84197141,2806571.3667,819115,4455012.0507,4846,246484.25,3333868.5,20246340,0.8966,0.8962,0.0239,0.842,0.8807,0.9123,0.9511,0.0267,20246340,4846,0.9791
1,762_T2,NC_059459.1,11,305472,27770.1818,10034,41637.2566,525,2781.5,36559.5,134275,0.1061,0.1088,0.0707,0.0033,0.0597,0.1617,0.2119,0.6666,134275,525,0.0037
2,762_T2,NC_059459.1,42,954814,22733.6667,4221.5,55730.1942,148,1476.75,15857.75,288299,0.471,0.4671,0.0829,0.3197,0.4041,0.524,0.647,0.1761,288299,148,0.0115
3,762_T2,NC_059459.1,44,81641597,1855490.8409,153524.5,3897090.2006,282,5250,1550542,16439369,0.8506,0.868,0.0693,0.6847,0.8099,0.9069,0.9524,0.0815,16439369,282,0.9848
1,762_T2,NC_059460.1,20,681406,34070.3,2739,54766.4745,189,725.5,38983.75,191308,0.4279,0.4281,0.2352,0.0413,0.2866,0.6197,0.832,0.5496,191308,189,0.0078
